Site Number,Site Name,Country,City,State,Zip,Status
001,Research Site,United States,Tucson,Arizona,,Completed
002,Research Site,United States,Burbank,California,,Completed
003,Research Site,United States,La Jolla,California,,Completed
004,Research Site,United States,Stanford,California,,Completed
005,Research Site,United States,Denver,Colorado,,Completed
006,Research Site,United States,New Haven,Connecticut,,Completed
007,Research Site,United States,Stamford,Connecticut,,Completed
008,Research Site,United States,Chicago,Illinois,,Completed
009,Research Site,United States,Maywood,Illinois,,Completed
010,Research Site,United States,Niles,Illinois,,Completed
011,Research Site,United States,Springfield,Illinois,,Completed
012,Research Site,United States,Goshen,Indiana,,Completed
013,Research Site,United States,Iowa City,Iowa,,Completed
014,Research Site,United States,Sioux City,Iowa,,Completed
015,Research Site,United States,Topeka,Kansas,,Completed
016,Research Site,United States,Westwood,Kansas,,Completed
017,Research Site,United States,Lexington,Kentucky,,Completed
018,Research Site,United States,Louisville,Kentucky,,Completed
019,Research Site,United States,Metairie,Louisiana,,Completed
020,Research Site,United States,Ann Arbor,Michigan,,Completed
021,Research Site,United States,Detroit,Michigan,,Completed
022,Research Site,United States,Jefferson City,Missouri,,Completed
023,Research Site,United States,Lincoln,Nebraska,,Completed
024,Research Site,United States,Hackensack,New Jersey,,Completed
025,Research Site,United States,New Brunswick,New Jersey,,Completed
026,Research Site,United States,Albuquerque,New Mexico,,Completed
027,Research Site,United States,Albany,New York,,Completed
028,Research Site,United States,Hawthorne,New York,,Completed
029,Research Site,United States,New York,New York,,Completed
030,Research Site,United States,Durham,North Carolina,,Completed
031,Research Site,United States,Greenville,North Carolina,,Completed
032,Research Site,United States,Bismarck,North Dakota,,Completed
033,Research Site,United States,Fargo,North Dakota,,Completed
034,Research Site,United States,Eugene,Oregon,,Completed
035,Research Site,United States,Portland,Oregon,,Completed
036,Research Site,United States,Philadelphia,Pennsylvania,,Completed
037,Research Site,United States,Greenville,South Carolina,,Completed
038,Research Site,United States,Watertown,South Dakota,,Completed
039,Research Site,United States,Nashville,Tennessee,,Completed
040,Research Site,United States,Houston,Texas,,Completed
041,Research Site,United States,San Antonio,Texas,,Completed
042,Research Site,United States,Burlington,Vermont,,Completed
043,Research Site,United States,Spokane,Washington,,Completed
044,Research Site,United States,Vancouver,Washington,,Completed
045,Research Site,Argentina,Buenos Aires,,,Completed
046,Research Site,Argentina,Córdoba,,,Completed
047,Research Site,Argentina,La Capital,,,Completed
048,Research Site,Argentina,Paraná,,,Completed
049,Research Site,Australia,Adelaide,,,Completed
050,Research Site,Australia,Auchenflower,,,Completed
051,Research Site,Australia,Box Hill,,,Completed
052,Research Site,Australia,Concord,,,Completed
053,Research Site,Australia,Douglas,,,Completed
054,Research Site,Australia,Gosford,,,Completed
055,Research Site,Australia,Hobart,,,Completed
056,Research Site,Australia,Prahran,,,Completed
057,Research Site,Belgium,Antwerp,,,Completed
058,Research Site,Belgium,Bruges,,,Completed
059,Research Site,Belgium,Brussels,,,Completed
060,Research Site,Belgium,Ghent,,,Completed
061,Research Site,Belgium,Leuven,,,Completed
062,Research Site,Belgium,Wilrijk,,,Completed
063,Research Site,Belgium,Yvoir,,,Completed
064,Research Site,Brazil,Barretos,,,Completed
065,Research Site,Brazil,Goiânia,,,Completed
066,Research Site,Brazil,Porto Alegre,,,Completed
067,Research Site,Brazil,Ribeirão Preto,,,Completed
068,Research Site,Brazil,Rio de Janeiro,,,Completed
069,Research Site,Brazil,São Paulo,,,Completed
