Site Number,Site Name,Country,City,State,Zip,Status
001,Banner MD Anderson Cancer Ctr /ID# 125011,United States,Gilbert,Arizona,85234,Completed
002,University of Arkansas for Medical Sciences /ID# 124992,United States,Little Rock,Arkansas,72205,Completed
003,City of Hope /ID# 127117,United States,Duarte,California,91010,Completed
004,California Cancer Associates for Research & Excellence (cCARE) /ID# 136078,United States,Fresno,California,93720,Completed
005,Moores Cancer Center at UC San Diego /ID# 124991,United States,La Jolla,California,92093,Completed
006,Hematology and Oncology Assoc /ID# 130058,United States,Newport Beach,California,92663,Completed
007,Cancer Research Collaboration /ID# 128860,United States,Santa Ana,California,92705,Completed
008,Icri /Id# 128520,United States,Whittier,California,90603,Completed
009,Univ of Colorado Cancer Center /ID# 124983,United States,Aurora,Colorado,80045,Completed
010,Saint Joseph Hospital /ID# 131768,United States,Denver,Colorado,80218,Completed
011,Norwalk Hospital /ID# 133509,United States,Norwalk,Connecticut,06856,Completed
012,"Lynn Cancer Institute, Boca /ID# 125013",United States,Boca Raton,Florida,33486,Completed
013,Holy Cross Hospital /ID# 125012,United States,Fort Lauderdale,Florida,33308,Completed
014,Sacred Heart Hospital /ID# 128279,United States,Pensacola,Florida,32504,Completed
015,Moffitt Cancer Center /ID# 124990,United States,Tampa,Florida,33612-9416,Completed
016,Florida Cancer Specialists - East /ID# 125007,United States,West Palm Beach,Florida,33401,Completed
017,Emory Midtown Infectious Disease Clinic /ID# 133192,United States,Atlanta,Georgia,30322,Completed
018,The Cancer Ctr at DeKalb Med C /ID# 125024,United States,Decatur,Georgia,30033,Completed
019,University of Illinois - Chicago /ID# 127576,United States,Chicago,Illinois,60607,Completed
020,NorthShore University HealthSystem /ID# 124996,United States,Evanston,Illinois,60201,Completed
021,Midwestern Regional CTC /ID# 124986,United States,Zion,Illinois,60099,Completed
022,"McFarland Clinic, PC /ID# 129904",United States,Ames,Iowa,50010,Completed
023,Johns Hopkins University /ID# 125015,United States,Baltimore,Maryland,21287,Completed
024,Baystate Medical Center /ID# 139461,United States,Springfield,Massachusetts,01199,Completed
025,UMass Chan Medical School /ID# 129067,United States,Worcester,Massachusetts,01655,Completed
026,Henry Ford Health System /ID# 134497,United States,Detroit,Michigan,48202,Completed
027,Spectrum Health Medical Group /ID# 133568,United States,Grand Rapids,Michigan,49503,Completed
028,Spectrum Health Medical Group /ID# 148471,United States,Grand Rapids,Michigan,49503,Completed
029,William Beaumont Hospital /ID# 125019,United States,Royal Oak,Michigan,48073-6710,Completed
030,"Univ of Mississippi Med Ctr,US /ID# 131352",United States,Jackson,Mississippi,39216-4643,Completed
031,St. Lukes Cancer Institute /ID# 125023,United States,Kansas City,Missouri,64111-5905,Completed
032,Washington University-School of Medicine /ID# 127575,United States,St Louis,Missouri,63110,Completed
033,Nebraska Hematology Oncology /ID# 132711,United States,Lincoln,Nebraska,68506,Completed
034,Rutgers Cancer Institute of New Jersey /ID# 125017,United States,New Brunswick,New Jersey,08901,Completed
035,University of New Mexico /ID# 125349,United States,Albuquerque,New Mexico,87102-4517,Completed
036,Beth Israel Medical Center /ID# 125001,United States,New York,New York,10003,Completed
037,Mount Sinai St. Luke's /ID# 125003,United States,New York,New York,10025,Completed
038,Mission Cancer Center /ID# 134248,United States,Asheville,North Carolina,28801,Completed
039,Duke Cancer Center /ID# 124999,United States,Durham,North Carolina,27710-3000,Completed
040,The Ohio State University /ID# 125022,United States,Columbus,Ohio,43210,Completed
041,University of Toledo /ID# 134849,United States,Toledo,Ohio,43614,Completed
042,Oregon Health and Science University /ID# 134229,United States,Portland,Oregon,97239,Completed
043,Lehigh Valley Health Network /ID# 130059,United States,Allentown,Pennsylvania,18103,Completed
044,Lehigh Valley Hosp/Muhlenberg /ID# 130277,United States,Bethlehem,Pennsylvania,18017,Completed
045,Penn State University and Milton S. Hershey Medical Center /ID# 124997,United States,Hershey,Pennsylvania,17033,Completed
046,Allegheny General Hospital /ID# 135094,United States,Pittsburgh,Pennsylvania,15212,Completed
