Site Number,Site Name,Country,City,State,Zip,Status
001,Research Site,United States,Birmingham,Alabama,,Completed
002,Research Site,United States,Mobile,Alabama,,Completed
003,Research Site,United States,Glendale,Arizona,,Completed
004,Research Site,United States,Berkeley,California,,Completed
005,Research Site,United States,Beverly Hills,California,,Completed
006,Research Site,United States,El Cajon,California,,Completed
007,Research Site,United States,Greenbrae,California,,Completed
008,Research Site,United States,Los Angeles,California,,Completed
009,Research Site,United States,Oceanside,California,,Completed
010,Research Site,United States,San Diego,California,,Completed
011,Research Site,United States,West Hills,California,,Completed
012,Research Site,United States,Whittier,California,,Completed
013,Research Site,United States,Denver,Colorado,,Completed
014,Research Site,United States,Fort Collins,Colorado,,Completed
015,Research Site,United States,Glenwood Springs,Colorado,,Completed
016,Research Site,United States,New Haven,Connecticut,,Completed
017,Research Site,United States,Norwalk,Connecticut,,Completed
018,Research Site,United States,Washington D.C.,District of Columbia,,Completed
019,Research Site,United States,Boca Raton,Florida,,Completed
020,Research Site,United States,Boynton Beach,Florida,,Completed
021,Research Site,United States,Fort Lauderdale,Florida,,Completed
022,Research Site,United States,Fort Myers,Florida,,Completed
023,Research Site,United States,Hollywood,Florida,,Completed
024,Research Site,United States,Jacksonville,Florida,,Completed
025,Research Site,United States,Lake City,Florida,,Completed
026,Research Site,United States,St. Petersburg,Florida,,Completed
027,Research Site,United States,Weston,Florida,,Completed
028,Research Site,United States,Atlanta,Georgia,,Completed
029,Research Site,United States,Augusta,Georgia,,Completed
030,Research Site,United States,Macon,Georgia,,Completed
031,Research Site,United States,Marietta,Georgia,,Completed
032,Research Site,United States,Chicago,Illinois,,Completed
033,Research Site,United States,Niles,Illinois,,Completed
034,Research Site,United States,Fort Wayne,Indiana,,Completed
035,Research Site,United States,Iowa City,Iowa,,Completed
036,Research Site,United States,Louisville,Kentucky,,Completed
037,Research Site,United States,Lafayette,Louisiana,,Completed
038,Research Site,United States,Marrero,Louisiana,,Completed
039,Research Site,United States,Shreveport,Louisiana,,Completed
040,Research Site,United States,Annapolis,Maryland,,Completed
041,Research Site,United States,Baltimore,Maryland,,Completed
042,Research Site,United States,Frederick,Maryland,,Completed
043,Research Site,United States,Boston,Massachusetts,,Completed
044,Research Site,United States,Detroit,Michigan,,Completed
045,Research Site,United States,Duluth,Minnesota,,Completed
046,Research Site,United States,Rochester,Minnesota,,Completed
047,Research Site,United States,Kansas City,Missouri,,Completed
048,Research Site,United States,St Louis,Missouri,,Completed
049,Research Site,United States,Omaha,Nebraska,,Completed
050,Research Site,United States,Hooksett,New Hampshire,,Completed
051,Research Site,United States,Brick,New Jersey,,Completed
052,Research Site,United States,Hackensack,New Jersey,,Completed
053,Research Site,United States,Livingston,New Jersey,,Completed
054,Research Site,United States,Plainfield,New Jersey,,Completed
055,Research Site,United States,Summit,New Jersey,,Completed
056,Research Site,United States,Mineola,New York,,Completed
057,Research Site,United States,New York,New York,,Completed
058,Research Site,United States,Rochester,New York,,Completed
059,Research Site,United States,Asheboro,North Carolina,,Completed
060,Research Site,United States,Charlotte,North Carolina,,Completed
061,Research Site,United States,Pinehurst,North Carolina,,Completed
062,Research Site,United States,Winston-Salem,North Carolina,,Completed
063,Research Site,United States,Canton,Ohio,,Completed
064,Research Site,United States,Cleveland,Ohio,,Completed
065,Research Site,United States,Columbus,Ohio,,Completed
066,Research Site,United States,Bend,Oregon,,Completed
067,Research Site,United States,Bethlehem,Pennsylvania,,Completed
