Site Number,Site Name,Country,City,State,Zip,Status
001,Research Site,United States,Birmingham,Alabama,,Completed
002,Research Site,United States,La Mirada,California,,Completed
003,Research Site,United States,Los Angeles,California,,Completed
004,Research Site,United States,Newport Beach,California,,Completed
005,Research Site,United States,Torrance,California,,Completed
006,Research Site,United States,Vallejo,California,,Completed
007,Research Site,United States,Lone Tree,Colorado,,Completed
008,Research Site,United States,Farmington,Connecticut,,Completed
009,Research Site,United States,Washington D.C.,District of Columbia,,Completed
010,Research Site,United States,Gainesville,Florida,,Completed
011,Research Site,United States,Largo,Florida,,Completed
012,Research Site,United States,Miami,Florida,,Completed
013,Research Site,United States,Port Orange,Florida,,Completed
014,Research Site,United States,Tampa,Florida,,Completed
015,Research Site,United States,Winter Park,Florida,,Completed
016,Research Site,United States,Zephyrhills,Florida,,Completed
017,Research Site,United States,Atlanta,Georgia,,Completed
018,Research Site,United States,Decatur,Georgia,,Completed
019,Research Site,United States,Macon,Georgia,,Completed
020,Research Site,United States,Suwanee,Georgia,,Completed
021,Research Site,United States,Idaho Falls,Idaho,,Completed
022,Research Site,United States,Chicago,Illinois,,Completed
023,Research Site,United States,Evanston,Illinois,,Completed
024,Research Site,United States,Urbana,Illinois,,Completed
025,Research Site,United States,Indianapolis,Indiana,,Completed
026,Research Site,United States,Pratt,Kansas,,Completed
027,Research Site,United States,Crestview Hills,Kentucky,,Completed
028,Research Site,United States,Lexington,Kentucky,,Completed
029,Research Site,United States,Louisville,Kentucky,,Completed
030,Research Site,United States,Houma,Louisiana,,Completed
031,Research Site,United States,Shreveport,Louisiana,,Completed
032,Research Site,United States,Columbia,Maryland,,Completed
033,Research Site,United States,Boston,Massachusetts,,Completed
034,Research Site,United States,Ann Arbor,Michigan,,Completed
035,Research Site,United States,Chesterfield,Michigan,,Completed
036,Research Site,United States,Troy,Michigan,,Completed
037,Research Site,United States,Ypsilanti,Michigan,,Completed
038,Research Site,United States,Rochester,Minnesota,,Completed
039,Research Site,United States,Jackson,Mississippi,,Completed
040,Research Site,United States,Marlton,New Jersey,,Completed
041,Research Site,United States,Morristown,New Jersey,,Completed
042,Research Site,United States,Brooklyn,New York,,Completed
043,Research Site,United States,Mineola,New York,,Completed
044,Research Site,United States,New York,New York,,Completed
045,Research Site,United States,Poughkeepsie,New York,,Completed
046,Research Site,United States,Rochester,New York,,Completed
047,Research Site,United States,The Bronx,New York,,Completed
048,Research Site,United States,Cincinnati,Ohio,,Completed
