Site Number,Site Name,Country,City,State,Zip,Status
001,Research Site,United States,Concord,California,94520,Completed
002,Research Site,United States,Fresno,California,93720,Completed
003,Research Site,United States,Los Angeles,California,90057,Completed
004,Research Site,United States,Orange,California,92868,Completed
005,Research Site,United States,San Mateo,California,94401,Completed
006,Research Site,United States,San Ramon,California,94583,Completed
007,Research Site,United States,Walnut Creek,California,94598,Completed
008,Research Site,United States,Golden,Colorado,80401,Completed
009,Research Site,United States,Newark,Delaware,19713,Completed
010,Research Site,United States,Bradenton,Florida,34201,Completed
011,Research Site,United States,Clearwater,Florida,33756,Completed
012,Research Site,United States,Fort Lauderdale,Florida,33312,Completed
013,Research Site,United States,Jacksonville,Florida,32216,Completed
014,Research Site,United States,Miami,Florida,33156,Completed
015,Research Site,United States,Miami Springs,Florida,33166,Completed
016,Research Site,United States,St. Petersburg,Florida,33709,Completed
017,Research Site,United States,Tampa,Florida,33634,Completed
018,Research Site,United States,Atlanta,Georgia,30308,Completed
019,Research Site,United States,Atlanta,Georgia,30318,Completed
020,Research Site,United States,Roswell,Georgia,30076,Completed
021,Research Site,United States,Chicago,Illinois,60607,Completed
022,Research Site,United States,Chicago,Illinois,60611,Completed
023,Research Site,United States,Des Moines,Iowa,50314,Completed
024,Research Site,United States,Overland Park,Kansas,66209,Completed
025,Research Site,United States,Lexington,Kentucky,40502,Completed
026,Research Site,United States,Lexington,Kentucky,40503,Completed
027,Research Site,United States,Kalamazoo,Michigan,49008,Completed
028,Research Site,United States,Edina,Minnesota,55435,Completed
029,Research Site,United States,Jefferson City,Missouri,65109,Completed
030,Research Site,United States,St Louis,Missouri,63110,Completed
031,Research Site,United States,Reno,Nevada,89511,Completed
032,Research Site,United States,Albuquerque,New Mexico,87109,Completed
033,Research Site,United States,Albany,New York,12208,Completed
034,Research Site,United States,Flushing,New York,11355,Completed
035,Research Site,United States,Mineola,New York,11501,Completed
036,Research Site,United States,New Hyde Park,New York,11042,Completed
037,Research Site,United States,New York,New York,10029,Completed
038,Research Site,United States,Philadelphia,Pennsylvania,19107-4824,Completed
039,Research Site,United States,Amarillo,Texas,79106,Completed
040,Research Site,United States,Austin,Texas,78731,Completed
041,Research Site,United States,Dallas,Texas,75231,Completed
042,Research Site,United States,Edinburg,Texas,78539,Completed
043,Research Site,United States,Mesquite,Texas,74194,Completed
044,Research Site,United States,San Antonio,Texas,78229,Completed
045,Research Site,United States,San Antonio,Texas,78258,Completed
046,Research Site,United States,Bennington,Vermont,05201,Completed
047,Research Site,United States,Federal Way,Washington,98003,Completed
048,Research Site,Argentina,Buenos Aires,,1180AAX,Completed
049,Research Site,Argentina,Buenos Aires,,C1405BCH,Completed
050,Research Site,Argentina,CABA,,1056,Completed
051,Research Site,Argentina,Corrientes,,3400,Completed
052,Research Site,Argentina,Córdoba,,5000,Completed
053,Research Site,Argentina,Córdoba,,X5006IKK,Completed
054,Research Site,Argentina,Mar del Plata,,B7600FZN,Completed
055,Research Site,Argentina,Ramos Mejía,,B1704ETD,Completed
056,Research Site,Belgium,Brussels (Uccle),,1180,Completed
057,Research Site,Belgium,Leuven,,3000,Completed
058,Research Site,Canada,Calgary,Alberta,T2V 4J2,Completed
059,Research Site,Canada,Edmonton,Alberta,T6G 2E1,Completed
060,Research Site,Canada,Halifax,Nova Scotia,B3H 2Y9,Completed
061,Research Site,Canada,Cambridge,Ontario,N1R 7L6,Completed
062,Research Site,Canada,Hamilton,Ontario,L8N 3Z5,Completed
063,Research Site,Canada,Ottawa,Ontario,K1H 7W9,Completed
064,Research Site,Canada,Smiths Falls,Ontario,K7A 4W8,Completed
065,Research Site,Canada,Sherbrooke,Quebec,J1H 5N4,Completed
066,Research Site,Chile,Santiago,,7500010,Completed
067,Research Site,Chile,Santiago,,8053095,Completed
068,Research Site,Chile,Temuco,,4781156,Completed
069,Research Site,Germany,Dresden,,1307,Completed
070,Research Site,Germany,Essen,,45355,Completed
071,Research Site,Germany,Falkensee,,14612,Completed
