Site Number,Site Name,Country,City,State,Zip,Status
001,Research Site,United States,Birmingham,Alabama,,Completed
002,Research Site,United States,Little Rock,Arkansas,,Completed
003,Research Site,United States,Anaheim,California,,Completed
004,Research Site,United States,Garden Grove,California,,Completed
005,Research Site,United States,Glendale,California,,Completed
006,Research Site,United States,Oakland,California,,Completed
007,Research Site,United States,Orange,California,,Completed
008,Research Site,United States,San Diego,California,,Completed
009,Research Site,United States,San Marcos,California,,Completed
010,Research Site,United States,San Rafael,California,,Completed
011,Research Site,United States,Hartford,Connecticut,,Completed
012,Research Site,United States,Bradenton,Florida,,Completed
013,Research Site,United States,Gainesville,Florida,,Completed
014,Research Site,United States,Miami,Florida,,Completed
015,Research Site,United States,Orlando,Florida,,Completed
016,Research Site,United States,Tampa,Florida,,Completed
017,Research Site,United States,Atlanta,Georgia,,Completed
018,Research Site,United States,Chicago,Illinois,,Completed
019,Research Site,United States,Hoffman Estates,Illinois,,Completed
020,Research Site,United States,Joliet,Illinois,,Completed
021,Research Site,United States,Maywood,Illinois,,Completed
022,Research Site,United States,Schaumburg,Illinois,,Completed
023,Research Site,United States,Skokie,Illinois,,Completed
024,Research Site,United States,Prairie Village,Kansas,,Completed
025,Research Site,United States,Wichita,Kansas,,Completed
026,Research Site,United States,Lake Charles,Louisiana,,Completed
027,Research Site,United States,Baltimore,Maryland,,Completed
028,Research Site,United States,Gaithersburg,Maryland,,Completed
029,Research Site,United States,Boston,Massachusetts,,Completed
030,Research Site,United States,New Bedford,Massachusetts,,Completed
031,Research Site,United States,Quincy,Massachusetts,,Completed
032,Research Site,United States,Watertown,Massachusetts,,Completed
033,Research Site,United States,Worcester,Massachusetts,,Completed
034,Research Site,United States,Rochester Hills,Michigan,,Completed
035,Research Site,United States,Minneapolis,Minnesota,,Completed
036,Research Site,United States,O'Fallon,Missouri,,Completed
037,Research Site,United States,Saint Charles,Missouri,,Completed
038,Research Site,United States,Omaha,Nebraska,,Completed
039,Research Site,United States,New York,New York,,Completed
040,Research Site,United States,Durham,North Carolina,,Completed
041,Research Site,United States,Hickory,North Carolina,,Completed
042,Research Site,United States,Oklahoma City,Oklahoma,,Completed
043,Research Site,United States,Media,Pennsylvania,,Completed
044,Research Site,United States,Philadelphia,Pennsylvania,,Completed
045,Research Site,United States,Scranton,Pennsylvania,,Completed
046,Research Site,United States,Lincoln,Rhode Island,,Completed
047,Research Site,United States,Providence,Rhode Island,,Completed
048,Research Site,United States,Arlington,Texas,,Completed
049,Research Site,United States,Austin,Texas,,Completed
050,Research Site,United States,Dallas,Texas,,Completed
051,Research Site,United States,Houston,Texas,,Completed
052,Research Site,United States,Charlottesville,Virginia,,Completed
053,Research Site,United States,Waukesha,Wisconsin,,Completed
054,Research Site,Belgium,Aalst,,,Completed
055,Research Site,Belgium,Bruges,,,Completed
056,Research Site,Belgium,Brussels,,,Completed
057,Research Site,Belgium,Heusden-Zolder,,,Completed
058,Research Site,Belgium,Liège,,,Completed
059,Research Site,Belgium,Yvoir,,,Completed
060,Research Site,Brazil,Belo Horizonte,,,Completed
061,Research Site,Brazil,Curitiba,,,Completed
062,Research Site,Brazil,Fortaleza,,,Completed
063,Research Site,Brazil,Goiânia,,,Completed
064,Research Site,Brazil,Itapira,,,Completed
065,Research Site,Brazil,Passo Fundo,,,Completed
066,Research Site,Brazil,Porto Alegre,,,Completed
067,Research Site,Brazil,Rio de Janeiro,,,Completed
068,Research Site,Brazil,Santo André,,,Completed
069,Research Site,Brazil,São José do Rio Preto,,,Completed
070,Research Site,Brazil,São Paulo,,,Completed
071,Research Site,Canada,Calgary,Alberta,,Completed
072,Research Site,Canada,Vancouver,British Columbia,,Completed
073,Research Site,Canada,Kingston,Ontario,,Completed
074,Research Site,Canada,Ottawa,Ontario,,Completed
075,Research Site,Canada,Toronto,Ontario,,Completed
