Site Number,Site Name,Country,City,State,Zip,Status
001,Local Institution - 0066,United States,Birmingham,Alabama,35294,Completed
002,Local Institution - 0020,United States,Los Angeles,California,90095,Completed
003,Local Institution - 0015,United States,San Francisco,California,94115,Completed
004,Local Institution - 0084,United States,San Francisco,California,94143,Completed
005,Local Institution - 0061,United States,Chicago,Illinois,60637,Completed
006,Ochsner Clinic Foundation,United States,New Orleans,Louisiana,70121,Completed
007,Local Institution - 0083,United States,New York,New York,10029,Completed
008,Local Institution - 0093,United States,New York,New York,10065,Completed
009,Local Institution - 0016,United States,Charlotte,North Carolina,28204,Completed
010,Local Institution - 0095,United States,Philadelphia,Pennsylvania,19104,Completed
011,Local Institution - 0019,United States,Philadelphia,Pennsylvania,19107,Completed
012,UT Southwestern Medical Center,United States,Dallas,Texas,75390,Completed
013,Local Institution - 0017,United States,San Antonio,Texas,78229,Completed
014,Scott & White Memorial Hospital And Clinic,United States,Temple,Texas,76508,Completed
015,Local Institution - 0026,United States,Seattle,Washington,98101,Completed
016,University of Washington - Seattle Cancer Care Alliance,United States,Seattle,Washington,98109,Completed
017,Local Institution - 0050,United States,Madison,Wisconsin,53792,Completed
018,Local Institution - 0005,Australia,Camperdown,New South Wales,2050,Completed
019,Local Institution - 0007,Australia,Adelaide,South Australia,5000,Completed
020,Local Institution - 0001,Australia,Clayton,Victoria,3168,Completed
021,Local Institution - 0002,Australia,Heidelberg,Victoria,3084,Completed
022,Local Institution - 0003,Australia,Prahran,Victoria,3181,Completed
023,Local Institution - 0008,Australia,Nedlands,Western Australia,6009,Completed
024,Local Institution - 0039,Austria,Graz,,8036,Completed
025,Local Institution - 0038,Austria,Vienna,,1090,Completed
026,Local Institution - 0075,Belgium,Brussels,,1000,Completed
027,Local Institution - 0091,Belgium,Leuven,,3000,Completed
028,Local Institution - 0077,Belgium,Liège,,4000,Completed
029,Local Institution - 0043,Canada,Calgary,Alberta,T2N 4N2,Completed
030,Local Institution - 0044,Canada,Vancouver,British Columbia,V5Z 4E6,Completed
031,Local Institution - 0042,Canada,Québec,Quebec,G1R 2J6,Completed
032,Local Institution - 0164,China,Hefei,Anhui,230061,Completed
033,Local Institution - 0139,China,Beijing,Beijing Municipality,100050,Completed
034,Local Institution - 0137,China,Beijing,Beijing Municipality,100071,Completed
035,Local Institution - 0140,China,Beijing,Beijing Municipality,100142,Completed
036,Local Institution - 0141,China,Beijing,Beijing Municipality,100142,Completed
037,Local Institution - 0152,China,Fuzhou,Fujian,350025,Completed
038,Local Institution - 0161,China,Guangzhou,Guangdong,510060,Completed
039,Local Institution - 0157,China,Guangzhou,Guangdong,510080,Completed
040,Local Institution - 0144,China,Guangzhou,Guangdong,510515,Completed
041,Local Institution - 0158,China,Nanning,Guangxi,530021,Completed
042,Local Institution - 0142,China,Harbin,Heilongjiang,155040,Completed
043,Local Institution - 0148,China,Changsha,Hunan,410013,Completed
044,Local Institution - 0162,China,Changsha,Hunan,410013,Completed
045,Local Institution - 0169,China,Changzhou,Jiangsu,213003,Completed
046,Local Institution - 0135,China,Nanjing,Jiangsu,210002,Completed
047,Local Institution - 0136,China,Changchun,Jilin,130012,Completed
048,Local Institution - 0163,China,Changchun,Jilin,130021,Completed
049,Local Institution - 0166,China,Dalian,Liaoning,116000,Completed
050,Local Institution - 0138,China,Xi'an,Shan3xi,710038,Completed
051,Local Institution - 0145,China,Shanghai,Shanghai Municipality,200032,Completed
052,Local Institution - 0151,China,Shanghai,Shanghai Municipality,200032,Completed
053,Local Institution - 0159,China,Tianjin,Tianjin Municipality,300060,Completed
054,Local Institution - 0173,China,Hangzhou,Zhejiang,310003,Completed
055,Local Institution - 0146,China,Hangzhou,Zhejiang,310022,Completed
056,Local Institution - 0029,Czechia,Brno,,656 53,Completed
057,Local Institution - 0027,Czechia,Hradec Králové,,500 05,Completed
058,Local Institution - 0028,Czechia,Olomouc,,779 00,Completed
059,Local Institution - 0071,France,La Tronche,,38700,Completed
060,Local Institution - 0072,France,Lille,,59037,Completed
061,Local Institution - 0069,France,Lyon,,69004,Completed
062,Local Institution - 0073,France,Montpellier,,34295,Completed
063,Local Institution - 0067,France,Paris,,75651,Completed
064,Local Institution - 0068,France,Pessac,,33604,Completed
065,Local Institution - 0070,France,Rennes,,35042,Completed
066,Local Institution - 0074,France,Toulouse,,31059,Completed
067,Local Institution - 0036,Germany,Berlin,,13353,Completed
068,Local Institution - 0037,Germany,Essen,,45136,Completed
069,Local Institution - 0167,Germany,Frankfurt,,60590,Completed
070,Local Institution - 0034,Germany,Hamburg,,20246,Completed
071,Local Institution - 0031,Germany,Leipzig,,04103,Completed
072,Local Institution - 0035,Germany,Mainz,,55131,Completed
073,Local Institution - 0033,Germany,Munich,,81366,Completed
074,Local Institution - 0032,Germany,Regensburg,,93053,Completed
075,Local Institution - 0030,Germany,Tübingen,,72076,Completed
076,Local Institution - 0011,Hong Kong,Hong Kong,,0,Completed
077,Local Institution - 0012,Hong Kong,Hong Kong,,,Completed
078,Local Institution - 0082,Israel,Haifa,,31096,Completed
079,Local Institution - 0060,Israel,Jerusalem,,91120,Completed
080,Local Institution - 0058,Israel,Petah Tikva,,49100,Completed
081,Local Institution - 0059,Israel,Tel Aviv,,64239,Completed
082,Local Institution - 0054,Italy,Benevento,,82100,Completed
083,Local Institution - 0062,Italy,Bergamo,,0,Completed
084,Local Institution - 0055,Italy,Milan,,20133,Completed
085,Local Institution - 0063,Italy,Orbassano,,10043,Completed
086,Local Institution - 0064,Italy,Siena,,53100,Completed
087,Local Institution - 0100,Japan,Chiba,Chiba,2608670,Completed
088,Local Institution - 0103,Japan,Matsuyama,Ehime,7900024,Completed
089,Local Institution - 0107,Japan,Kurume-shi,Fukuoka,8300011,Completed
090,Local Institution - 0127,Japan,Ogaki-shi,Gifu,5038502,Completed
091,Local Institution - 0102,Japan,Sapporo,Hokkaido,0600033,Completed
092,Local Institution - 0130,Japan,Sapporo,Hokkaido,0608648,Completed
093,Local Institution - 0105,Japan,Kanazawa,Ishikawa-ken,9208641,Completed
094,Local Institution - 0110,Japan,Kawasaki-shi,Kanagawa,2138587,Completed
095,Local Institution - 0112,Japan,Yokohama,Kanagawa,2320024,Completed
096,Local Institution - 0104,Japan,Yokohama,Kanagawa,2418515,Completed
097,Local Institution - 0111,Japan,Kyoto,Kyoto,6028566,Completed
098,Local Institution - 0106,Japan,Osaka-Sayama-Shi,Osaka,5898511,Completed
099,Local Institution - 0113,Japan,Suita,Osaka,5650871,Completed
100,Local Institution - 0115,Japan,Saga,Saga-ken,8408571,Completed
101,Local Institution - 0131,Japan,Chiyoda-ku,Tokyo,101-0062,Completed
102,Local Institution - 0114,Japan,Mitaka-shi,Tokyo,181-8611,Completed
103,Local Institution - 0108,Japan,Musashino-shi,Tokyo,180-8610,Completed
104,Local Institution - 0126,Japan,Shinjuku-ku,Tokyo,1628655,Completed
105,Local Institution - 0101,Japan,Hiroshima,,734-8551,Completed
