Site Number,Site Name,Country,City,State,Zip,Status
001,Site US10016,United States,Homewood,Alabama,35209,Completed
002,Site US10007,United States,Anchorage,Alaska,99503,Completed
003,Site US10008,United States,Tucson,Arizona,85741,Completed
004,Site US10034,United States,Fountain Valley,California,92708,Completed
005,Site US10056,United States,La Jolla,California,92093,Completed
006,Site US10026,United States,Santa Rosa,California,95403,Completed
007,Site US10035,United States,Aurora,Colorado,80045,Completed
008,Site US10050,United States,Denver,Colorado,80220,Completed
009,Site US10048,United States,St. Petersburg,Florida,33710,Completed
010,Site US10054,United States,Thomasville,Georgia,31792,Completed
011,Site US10015,United States,Chicago,Illinois,60637,Completed
012,Site US10043,United States,Springfield,Illinois,62703,Completed
013,Site US10045,United States,Jeffersonville,Indiana,47130,Completed
014,Site US10020,United States,West Des Moines,Iowa,50266,Completed
015,Site US10055,United States,Kansas City,Kansas,66160-7233,Completed
016,Site US10017,United States,Towson,Maryland,21204,Completed
017,Site US10036,United States,Omaha,Nebraska,68114,Completed
018,Site US10018,United States,Lawrenceville,New Jersey,08648,Completed
019,Site US10025,United States,Newburgh,New York,12550,Completed
020,Site US10029,United States,Syracuse,New York,13210,Completed
021,Site US10068,United States,Charlotte,North Carolina,28207,Completed
022,Site US10009,United States,Concord,North Carolina,28025,Completed
023,Site US10014,United States,Durham,North Carolina,27710,Completed
024,Site US10060,United States,Greenville,North Carolina,27834,Completed
025,Site US10044,United States,Middleburg Heights,Ohio,44130,Completed
026,Site US10011,United States,Lancaster,Pennsylvania,17604,Completed
027,Site US10012,United States,Myrtle Beach,South Carolina,29572,Completed
028,Site US10059,United States,Nashville,Tennessee,37208,Completed
029,Site US10046,United States,Dallas,Texas,75231,Completed
030,Site US10004,United States,Dallas,Texas,75390-9110,Completed
031,Site US10040,United States,Virginia Beach,Virginia,23462,Completed
032,Site US10002,United States,Burien,Washington,98166,Completed
033,Site US10013,United States,Seattle,Washington,98101,Completed
034,Site US10028,United States,Wenatchee,Washington,98801,Completed
035,Site AR54002,Argentina,Rosario,Santa Fe Province,S2000DSV,Completed
036,Site AR54007,Argentina,San Miguel de Tucumán,Tucumán Province,4000,Completed
037,Site AR54010,Argentina,Buenos Aires,,C1180AAX,Completed
038,Site AU61016,Australia,Camperdown,New South Wales,2050,Completed
039,Site AU61007,Australia,St Leonards,New South Wales,2065,Completed
040,Site AU61006,Australia,Sydney,New South Wales,,Completed
041,Site AU61009,Australia,Tweed Heads,New South Wales,2485,Completed
042,Site AU61013,Australia,Waratah,New South Wales,2298,Completed
043,Site AU61001,Australia,Woodville South,South Australia,5011,Completed
044,Site AU61004,Australia,Ballarat,Victoria,,Completed
045,Site AU61015,Australia,Clayton,Victoria,,Completed
046,Site AU61017,Australia,Parkville,Victoria,,Completed
047,Site AU61008,Australia,St Albans,Victoria,,Completed
048,Site BE32001,Belgium,Mons,Hainaut,,Completed
049,Site BE32012,Belgium,Ghent,Oost-Vlaanderen,,Completed
050,Site BE32005,Belgium,Kortrijk,West-Vlaanderen,,Completed
051,Site BE32008,Belgium,Liège,,,Completed
052,Site BE32007,Belgium,Yvoir,,,Completed
053,Site CA15016,Canada,Edmonton,Alberta,T6G 1Z2,Completed
054,Site CA15024,Canada,Abbotsford,British Columbia,V2S 3N6,Completed
055,Site CA15003,Canada,Kelowna,British Columbia,V1W 4V5,Completed
056,Site CA15022,Canada,Kelowna,British Columbia,V1Y 5L3,Completed
057,Site CA15010,Canada,Brampton,Ontario,L6T 4S5,Completed
058,Site CA15021,Canada,Kingston,Ontario,K7L 2V7,Completed
059,Site CA15013,Canada,Oakville,Ontario,L6H 3P1,Completed
060,Site CA15020,Canada,Toronto,Ontario,M5G 2M9,Completed
061,Site CA15023,Canada,Granby,Quebec,J2G 8Z9,Completed
062,Site CA15004,Canada,Montreal,Quebec,H3T1E2,Completed
063,Site CL56002,Chile,Temuco,Región de la Araucanía,,Completed
064,Site CL56005,Chile,Viña del Mar,Región de Valparaíso,,Completed
065,Site CL56001,Chile,Santiago,RM,,Completed
066,Site CL56007,Chile,Providencia,Santiago Metropolitan,,Completed
067,Site CL56004,Chile,Reñaca,Viña Del Mar,,Completed
068,Site CL56003,Chile,Santiago,,,Completed
069,Site DK45005,Denmark,Aarhus,Central Jutland,,Completed
070,Site DK45008,Denmark,Holstebro,Central Jutland,,Completed
071,Site DK45002,Denmark,Copenhagen,Hovestaden,,Completed
072,Site DK45004,Denmark,Aalborg,North Denmark,,Completed
073,Site DK45003,Denmark,Herlev,,,Completed
074,Site DK45001,Denmark,Odense C,,,Completed
075,Site FI35802,Finland,Helsinki,Etelä-Suomen Lääni,,Completed
076,Site FI35804,Finland,Pori,Länsi-Suomen Lääni,,Completed
077,Site FI35803,Finland,Seinäjoki,Länsi-Suomen Lääni,,Completed
078,Site FI35801,Finland,Tampere,Oulun Laani,,Completed
079,Site FI35806,Finland,Jakobstad,,,Completed
080,Site FI35805,Finland,Oulu,,,Completed
081,Site FI35807,Finland,Turku,,,Completed
082,Site FR33010,France,Angers,Maine-et-Loire,,Completed
083,Site FR33003,France,Créteil,Val-de-Marne,94010,Completed
084,Site FR33006,France,Bordeaux,,,Completed
085,Site FR33014,France,Caen,,14076,Completed
086,Site FR33005,France,La Roche-sur-Yon,,,Completed
087,Site FR33015,France,Le Mans,,,Completed
088,Site FR33012,France,Lille,,,Completed
089,Site FR33007,France,Lyon,,,Completed
090,Site FR33011,France,Nîmes,,,Completed
091,Site FR33001,France,Pierre-Bénite,,,Completed
092,Site FR33009,France,Quimper,,,Completed
093,Site FR33013,France,Saint-Mandé,,,Completed
094,Site DE49002,Germany,Freiburg im Breisgau,Baden-Wurttemberg,,Completed
095,Site DE49004,Germany,Nürtingen,Baden-Wurttemberg,,Completed
096,Site DE49005,Germany,Bonn,,53111,Completed
097,Site DE49014,Germany,Hamburg,,20246,Completed
098,Site DE49013,Germany,Heidelberg,,69120,Completed
099,Site IL97201,Israel,Kfar Saba,Central District,,Completed
100,Site IL97211,Israel,Ẕerifin,Central District,,Completed
101,Site IL97210,Israel,Beersheba,,,Completed
102,Site IL97202,Israel,Haifa,,,Completed
103,Site IL97205,Israel,Haifa,,,Completed
104,Site IL97206,Israel,Jerusalem,,,Completed
105,Site IT39005,Italy,Meldola,Emilia-Romagna,,Completed
106,Site IT39004,Italy,Cremona,Lombardy,,Completed
107,Site IT39003,Italy,Milan,Lombardy,,Completed
108,Site IT39012,Italy,Milan,Lombardy,,Completed
109,Site IT39007,Italy,Novara,Piedmont,,Completed
110,Site IT39011,Italy,Trento,Trentino-Alto Adige,38100,Completed
111,Site IT39008,Italy,Pisa,Tuscany,,Completed
112,Site IT39006,Italy,Padua,Veneto,,Completed
113,Site IT39009,Italy,Candiolo,,10060,Completed
114,Site JP81003,Japan,Sakura,Chiba,,Completed
115,Site JP81001,Japan,Maebashi,Gunma,,Completed
116,Site JP81013,Japan,Kita-gun,Kagawa-ken,,Completed
117,Site JP81007,Japan,Yokohama,Kanagawa,,Completed
118,Site JP81016,Japan,Sendai,Miyagi,,Completed
119,Site JP81010,Japan,Abeno-ku,Osaka,,Completed
120,Site JP81011,Japan,Chuo-ku,Osaka,,Completed
121,Site JP81012,Japan,Sayama,Osaka,,Completed
122,Site JP81006,Japan,Bunkyo-ku,Tokyo,,Completed
123,Site JP81004,Japan,Koto-ku,Tokyo,,Completed
124,Site JP81005,Japan,Shinjuku-ku,Tokyo,,Completed
125,Site JP81017,Japan,Ube,Yamaguchi,,Completed
126,Site JP81002,Japan,Chiba,,,Completed
127,Site JP81014,Japan,Fukuoka,,,Completed
128,Site JP81015,Japan,Fukuoka,,,Completed
129,Site JP81008,Japan,Kyoto,,,Completed
130,Site JP81018,Japan,Nagasaki,,,Completed
131,Site JP81020,Japan,Niigata,,,Completed
132,Site JP81019,Japan,Yamagata,,,Completed
133,Site NL31003,Netherlands,Nijmegen,Gelderland,,Completed
134,Site NL31007,Netherlands,Nijmegen,Gelderland,,Completed
135,Site NL31005,Netherlands,Eindhoven,North Brabant,,Completed
136,Site NL31010,Netherlands,Alkmaar,North Holland,,Completed
137,Site NL31008,Netherlands,Amsterdam,North Holland,,Completed
138,Site NL31009,Netherlands,Zwolle,Overijssel,,Completed
139,Site NL31002,Netherlands,Sneek,Provincie Friesland,,Completed
140,Site NL31006,Netherlands,Rotterdam,South Holland,,Completed
141,Site NZ64003,New Zealand,Tauranga,Bay of Plenty,,Completed
142,Site NZ64008,New Zealand,Kensington,Northland,,Completed
143,Site NZ64002,New Zealand,Dunedin,South Island,,Completed
144,Site NZ64005,New Zealand,Nelson,Tasman District,,Completed
145,Site NZ64004,New Zealand,Hamilton,,,Completed
146,Site PL48007,Poland,Krakow,Lesser Poland Voivodeship,,Completed
147,Site PL48003,Poland,Wroclaw,Lower Silesian Voivodeship,,Completed
148,Site PL48011,Poland,Warsaw,Masovian Voivodeship,,Completed
149,Site PL48005,Poland,Gdansk,Pomeranian Voivodeship,,Completed
150,Site PL48010,Poland,Słupsk,Pomeranian Voivodeship,,Completed
151,Site PL48001,Poland,Mysłowice,,,Completed
152,Site RO40008,Romania,Cluj-Napoca,Cluj,,Completed
153,Site RO40009,Romania,Cluj-Napoca,Cluj,,Completed
154,Site RO40002,Romania,Floreşti,Cluj,,Completed
155,Site RO40011,Romania,Timișoara,Timiș County,,Completed
156,Site RO40007,Romania,Brasov,,,Completed
157,Site RO40003,Romania,Bucharest,,,Completed
158,Site RO40006,Romania,Bucharest,,,Completed
159,Site RU70013,Russia,Ivanovo,,,Completed
160,Site RU70001,Russia,Moscow,,,Completed
161,Site RU70003,Russia,Moscow,,,Completed
162,Site RU70014,Russia,Moscow,,,Completed
163,Site RU70006,Russia,Omsk,,,Completed
164,Site RU70005,Russia,Penza,,,Completed
165,Site RU70007,Russia,Saint Petersburg,,,Completed
166,Site RU70008,Russia,Saint Petersburg,,,Completed
167,Site RU70009,Russia,Saint Petersburg,,,Completed
168,Site RU70012,Russia,Saint Petersburg,,,Completed
169,Site RU70016,Russia,Saint Petersburg,,,Completed
170,Site SK42110,Slovakia,Bratislava,,,Completed
171,Site SK42109,Slovakia,Košice,,,Completed
172,Site SK42102,Slovakia,Michalovce,,,Completed
173,Site SK42103,Slovakia,Nitra,,,Completed
174,Site SK42101,Slovakia,Poprad,,,Completed
175,Site SK42107,Slovakia,Trenčín,,,Completed
176,Site SK42106,Slovakia,Žilina,,012 07,Completed
177,Site KR82008,South Korea,Seongnam-si,Gyeonggi-do,,Completed
178,Site KR82007,South Korea,Busan,,,Completed
179,Site KR82004,South Korea,Incheon,,,Completed
180,Site KR82001,South Korea,Seoul,,,Completed
181,Site KR82002,South Korea,Seoul,,,Completed
182,Site KR82003,South Korea,Seoul,,,Completed
183,Site ES34011,Spain,Salamanca,A Coruña,,Completed
184,Site ES34010,Spain,Sabadell,Barcelona,,Completed
185,Site ES34012,Spain,Barcelona,Catalonia,,Completed
186,Site ES34014,Spain,Barcelona,Catalonia,,Completed
187,Site ES34006,Spain,Pamplona,Navarre,,Completed
188,Site ES34020,Spain,Oviedo,Principality of Asturias,,Completed
189,Site ES34013,Spain,Valencia,Valencia,,Completed
190,Site ES34001,Spain,Ávila,,,Completed
191,Site ES34007,Spain,Barcelona,,,Completed
192,Site ES34004,Spain,Madrid,,,Completed
193,Site ES34019,Spain,Madrid,,,Completed
194,Site SE46002,Sweden,Örebro,Orebro Län,,Completed
