Site Number,Site Name,Country,City,State,Zip,Status
001,Southern Cancer Center,United States,Daphne,Alabama,36526,Completed
002,Southern Cancer Center,United States,Mobile,Alabama,36607,Completed
003,Southern Cancer Center,United States,Mobile,Alabama,36608,Completed
004,Tower Hematology Oncology Medical Group,United States,Beverly Hills,California,90211,Completed
005,City of Hope National Medical Center,United States,Duarte,California,91010,Completed
006,City of Hope,United States,Duarte,California,91010,Completed
007,Keck Hospital of USC,United States,Los Angeles,California,90033,Completed
008,Los Angeles General Medical Center,United States,Los Angeles,California,90033,Completed
009,USC IDS Pharmacy,United States,Los Angeles,California,90033,Completed
010,USC/Norris Comprehensive Cancer Center,United States,Los Angeles,California,90033,Completed
011,Cedars-Sinai Advanced Health Sciences Pavilion,United States,Los Angeles,California,90048,Completed
012,"Cedars-Sinai Medical Center, Samuel Oschin Comprehensive Cancer Institute",United States,Los Angeles,California,90048,Completed
013,Cedars-Sinai,United States,Los Angeles,California,90048,Completed
014,Rocky Mountain Cancer Centers,United States,Aurora,Colorado,80012,Completed
015,University of Colorado Cancer Center Anschutz Cancer Pavilion,United States,Aurora,Colorado,80045,Completed
016,University of Colorado Hospital - Clinical Trials Office (CTO),United States,Aurora,Colorado,80045,Completed
017,University of Colorado Hospital,United States,Aurora,Colorado,80045,Completed
018,Rocky Mountain Cancer Centers,United States,Colorado Springs,Colorado,80907,Completed
019,Georgetown University Medical Center,United States,Washington D.C.,District of Columbia,20007,Completed
020,Moffitt Cancer Center and Research Institute,United States,Tampa,Florida,33612,Completed
021,Emory University Hospital,United States,Atlanta,Georgia,30322,Completed
022,Investigational Drug Service- Emory University,United States,Atlanta,Georgia,30322,Completed
023,The Emory Clinic,United States,Atlanta,Georgia,30322,Completed
024,"Winship Cancer Institute, Emory University",United States,Atlanta,Georgia,30322,Completed
025,East Jefferson General Hospital,United States,Metairie,Louisiana,70006,Completed
026,East Jefferson Hematology-Oncology Metairie Physician Service Inc.,United States,Metairie,Louisiana,70006,Completed
027,New England Cancer Specialists,United States,Kennebunk,Maine,04043,Completed
028,New England Cancer Specialists,United States,Scarborough,Maine,04074,Completed
029,New England Cancer Specialists,United States,Topsham,Maine,04086,Completed
030,Oncology Investigational Drug Services- The Sidney Kimmel Cancer Center at Johns Hopkins Hospital,United States,Baltimore,Maryland,21231,Completed
031,Johns Hopkins Hospital,United States,Baltimore,Maryland,21287,Completed
032,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,United States,Baltimore,Maryland,21287,Completed
033,Massachusetts General Hospital (MGH),United States,Boston,Massachusetts,02114,Completed
034,Massachusetts General Hospital Clinical Trials Pharmacy,United States,Boston,Massachusetts,02114,Completed
