Site Number,Site Name,Country,City,State,Zip,Status
001,Rheum Assoc of North Alabama /ID# 146009,United States,Huntsville,Alabama,35801,Completed
002,"Alabama Medical Group, PC /ID# 153941",United States,Mobile,Alabama,36608-1787,Completed
003,ArthroCare Arthritis Care & Re /ID# 143751,United States,Gilbert,Arizona,85234,Completed
004,"Elite Clinical Studies, LLC /ID# 143760",United States,Phoenix,Arizona,85018,Completed
005,University of Arizona Cancer Center - North Campus /ID# 147175,United States,Tucson,Arizona,85719-1478,Completed
006,NEA Baptist Womens Clinic /ID# 148904,United States,Jonesboro,Arkansas,72401,Completed
007,"C.V. Mehta MD, Med Corporation /ID# 143762",United States,Hemet,California,92543,Completed
008,Arthritis Assoc & Osteo Ctr /ID# 147176,United States,Colorado Springs,Colorado,80920,Completed
009,"Ctr Rheum, Immuno, Arthritis /ID# 143766",United States,Fort Lauderdale,Florida,33309,Completed
010,South Florida Research Ph I-IV /ID# 151983,United States,Miami Springs,Florida,33166-7225,Completed
011,Advent Clinical Research /ID# 143767,United States,Pinellas Park,Florida,33781,Completed
012,Sarasota Arthritis Center /ID# 146011,United States,Sarasota,Florida,34239,Completed
013,W. Broward Rheum Assoc Inc. /ID# 146010,United States,Tamarac,Florida,33321,Completed
014,Clinical Research West FL /ID# 148726,United States,Tampa,Florida,33603,Completed
015,"SW FL Clin Res Ctr, Tampa, FL /ID# 143763",United States,Tampa,Florida,33609,Completed
016,University of South Florida /ID# 146004,United States,Tampa,Florida,33612,Completed
017,"BayCare Medical Group, Inc. /ID# 151985",United States,Tampa,Florida,33614-7101,Completed
018,"BayCare Medical Group, Inc. /ID# 163595",United States,Tampa,Florida,33614-7101,Completed
019,"Jefrey D. Lieberman, MD, P.C. /ID# 151816",United States,Decatur,Georgia,30033,Completed
020,Great Lakes Clinical Trials /ID# 150935,United States,Chicago,Illinois,60640,Completed
021,"PRN Professional Research Network of Kansas, LLC /ID# 143761",United States,Wichita,Kansas,67205,Completed
022,Ochsner Clinic Foundation /ID# 153573,United States,Baton Rouge,Louisiana,70836-6455,Completed
