Site Number,Site Name,Country,City,State,Zip,Status
001,California Cancer Associates for Research and Excellence,United States,Encinitas,California,92024,Completed
002,UC Irvine Medical Center,United States,Orange,California,92613-4091,Completed
003,California Pacific Medical Center,United States,San Francisco,California,94115,Completed
004,Stanford Cancer Center,United States,Stanford,California,94305,Completed
005,University of Kansas Cancer Center,United States,Westwood,Kansas,66205,Completed
006,Johns Hopkins U,United States,Lutherville,Maryland,21093,Completed
007,Nebraska Cancer Specialists,United States,Omaha,Nebraska,68130,Completed
008,NYU Laura and Isaac Perlmutter Cancer Center,United States,New York,New York,10016,Completed
009,University of Pittsburgh Med Center,United States,Pittsburgh,Pennsylvania,15213,Completed
010,University of Tennessee Medical Ctr,United States,Knoxville,Tennessee,37920,Completed
011,Univ of TX MD Anderson Cancer Cntr,United States,Houston,Texas,77030,Completed
012,Utah Cancer Specialists,United States,Salt Lake City,Utah,84106,Completed
013,Novartis Investigative Site,Argentina,CABA,Buenos Aires,C1125ABD,Completed
014,Novartis Investigative Site,Argentina,CABA,Buenos Aires,C1426ANZ,Completed
015,Novartis Investigative Site,Argentina,Rosario,Santa Fe Province,S2000KZE,Completed
016,Novartis Investigative Site,Argentina,Caba,,C1431FWO,Completed
017,Novartis Investigative Site,Australia,Gateshead,New South Wales,2290,Completed
018,Novartis Investigative Site,Australia,North Sydney,New South Wales,2060,Completed
019,Novartis Investigative Site,Australia,Greenslopes,Queensland,4120,Completed
020,Novartis Investigative Site,Australia,Melbourne,Victoria,3004,Completed
021,Novartis Investigative Site,Australia,Nedlands,Western Australia,6009,Completed
022,Novartis Investigative Site,Austria,Innsbruck,Tyrol,6020,Completed
023,Novartis Investigative Site,Austria,Graz,,8036,Completed
024,Novartis Investigative Site,Austria,Linz,,4020,Completed
025,Novartis Investigative Site,Austria,Salzburg,,A-5020,Completed
026,Novartis Investigative Site,Austria,Sankt Pölten,,3100,Completed
027,Novartis Investigative Site,Belgium,Brussels,,1090,Completed
028,Novartis Investigative Site,Belgium,Brussels,,1200,Completed
029,Novartis Investigative Site,Brazil,Curitiba,Paraná,80530 010,Completed
030,Novartis Investigative Site,Brazil,Porto Alegre,Rio Grande do Sul,90035-003,Completed
031,Novartis Investigative Site,Brazil,São Paulo,São Paulo,01246 000,Completed
032,Novartis Investigative Site,Brazil,Rio de Janeiro,,20560-120,Completed
033,Novartis Investigative Site,Bulgaria,Plovdiv,,4004,Completed
034,Novartis Investigative Site,Bulgaria,Sofia,,1303,Completed
035,Novartis Investigative Site,Canada,Vancouver,British Columbia,V5Z 4E6,Completed
036,Novartis Investigative Site,Canada,Toronto,Ontario,M4N 3M5,Completed
037,Novartis Investigative Site,Canada,Montreal,Quebec,H3T 1E2,Completed
038,Novartis Investigative Site,Canada,Montreal,Quebec,H4A 3J1,Completed
039,Novartis Investigative Site,Canada,Sherbrooke,Quebec,J1H 5N4,Completed
040,Novartis Investigative Site,Chile,Temuco,Región de la Araucanía,4810469,Completed
041,Novartis Investigative Site,Chile,Santiago,,7500921,Completed
042,Novartis Investigative Site,Chile,Santiago,,8420383,Completed
043,Novartis Investigative Site,Czechia,Brno,Czech Republic,656 53,Completed
044,Novartis Investigative Site,Czechia,Zlín,Czech Republic,762 75,Completed
045,Novartis Investigative Site,Czechia,Hradec Králové,CZE,500 05,Completed
046,Novartis Investigative Site,Czechia,Ostrava,Poruba,708 52,Completed
047,Novartis Investigative Site,Czechia,Olomouc,,779 00,Completed
048,Novartis Investigative Site,Czechia,Prague,,100 34,Completed
049,Novartis Investigative Site,Czechia,Prague,,12808,Completed
050,Novartis Investigative Site,Denmark,Aarhus N,,8200,Completed
051,Novartis Investigative Site,France,Limoges,Haute Vienne,87000,Completed
052,Novartis Investigative Site,France,Amiens,,80054,Completed
053,Novartis Investigative Site,France,Besançon,,25030,Completed
054,Novartis Investigative Site,France,Bobigny,,93009,Completed
055,Novartis Investigative Site,France,Bordeaux,,33075,Completed
056,Novartis Investigative Site,France,Boulogne-Billancourt,,92104,Completed
057,Novartis Investigative Site,France,Caen,,14033,Completed
058,Novartis Investigative Site,France,Clermont-Ferrand,,63003,Completed
059,Novartis Investigative Site,France,Dijon,,21034,Completed
060,Novartis Investigative Site,France,Grenoble,,38043,Completed
061,Novartis Investigative Site,France,Le Mans,,72000,Completed
062,Novartis Investigative Site,France,Lille,,59037,Completed
063,Novartis Investigative Site,France,Lorient,,56322,Completed
064,Novartis Investigative Site,France,Lyon,,69373,Completed
065,Novartis Investigative Site,France,Marseille,,13885,Completed
066,Novartis Investigative Site,France,Mulhouse,,68070,Completed
067,Novartis Investigative Site,France,Nice,,06202,Completed
068,Novartis Investigative Site,France,Paris,,75475,Completed
069,Novartis Investigative Site,France,Pierre-Bénite,,69495,Completed
070,Novartis Investigative Site,France,Poitiers,,86021,Completed
071,Novartis Investigative Site,France,Reims,,51092,Completed
