Site Number,Site Name,Country,City,State,Zip,Status
001,La Mesa Cardiac Center,United States,La Mesa,California,91942,Completed
002,Long Beach Center for Clinical Research,United States,Long Beach,California,90807,Completed
003,VA Greater Los Angeles Healthcare System,United States,Los Angeles,California,90073,Completed
004,Merced Vein and Vascular Center,United States,Merced,California,95340,Completed
005,University of California Irvine,United States,Orange,California,92865,Completed
006,"Covigilant Research, LLC",United States,Riverside,California,92506,Completed
007,University of California,United States,Torrance,California,90502,Completed
008,Orange County Research Center,United States,Tustin,California,92780,Completed
009,Blue Coast Cardiology,United States,Vista,California,92083,Completed
010,"South Denver Cardiology Associates, PC",United States,Littleton,Colorado,80120,Completed
011,Integrated Heart Care,United States,Boca Raton,Florida,33434,Completed
012,Morton Plant Mease Health Care,United States,Clearwater,Florida,33756,Completed
013,Nature Coast Clinical Research,United States,Crystal River,Florida,34429,Completed
014,"Avail Clinical Research, LLC",United States,DeLand,Florida,32720,Completed
015,Holy Cross Hospital,United States,Fort Lauderdale,Florida,33308,Completed
016,Integrative Research Associates,United States,Fort Lauderdale,Florida,33312,Completed
017,Nature Coast Clinical Research,United States,Inverness,Florida,34452,Completed
018,"East Coast Institute for Research, LLC",United States,Jacksonville,Florida,32216,Completed
019,Jacksonville Center for Clinical Research,United States,Jacksonville,Florida,32216,Completed
020,Cardiovascular Research Center of South Florida,United States,Miami,Florida,33173,Completed
021,"Peninsula Research, Inc.",United States,Ormond Beach,Florida,32174,Completed
022,"Cardiology Consultants, Inc",United States,Pensacola,Florida,32501,Completed
023,Sarasota Memorial Hospital,United States,Sarasota,Florida,34239,Completed
024,Grady Clinical Research Center,United States,Atlanta,Georgia,30303,Completed
025,Augusta University,United States,Augusta,Georgia,30912,Completed
026,Columbus Regional Research Institute,United States,Columbus,Georgia,31904,Completed
027,Cardiovascular Group PC,United States,Lawrenceville,Georgia,30046,Completed
028,"Meridian Clinical Research, LLC",United States,Savannah,Georgia,31406,Completed
029,"Northwest Heart Clinical Research, LLC",United States,Arlington Heights,Illinois,60005,Completed
030,University of Chicago,United States,Chicago,Illinois,60637,Completed
031,Captain James A. Lovell Federal Health Care Center,United States,North Chicago,Illinois,60064,Completed
032,Rockford Cardiovascular Associates,United States,Rockford,Illinois,61107,Completed
033,Midwest Cardiovascular Research and Education Foundation,United States,Elkhart,Indiana,46514,Completed
034,"St. Francis Medical Group-Indiana Heart Physicians, Inc",United States,Indianapolis,Indiana,46237,Completed
035,Reid Hospital,United States,Richmond,Indiana,47374,Completed
036,Beacon Medical Group Clinical Research,United States,South Bend,Indiana,46601,Completed
037,"Research Integrity, LLC",United States,Owensboro,Kentucky,42303,Completed
038,Cambridge Medical Trials,United States,Alexandria,Louisiana,71301,Completed
039,Louisiana Heart Center,United States,Covington,Louisiana,70433,Completed
040,"Clinical Trials of America, LLC",United States,Monroe,Louisiana,71201,Completed
041,Tulane University Hospital and Clinic,United States,New Orleans,Louisiana,70112,Completed
042,Anne Arundel Medical Center,United States,Annapolis,Maryland,21401,Completed
043,Johns Hopkins University Hospital School of Medicine,United States,Baltimore,Maryland,21205,Completed
044,MedStar Health Research Institute,United States,Baltimore,Maryland,21237,Completed
045,Metropolitan Cardiovascular Consultants,United States,Beltsville,Maryland,20705,Completed
046,Spectrum Clinical Research,United States,Towson,Maryland,21204,Completed
047,Tufts Medical Center,United States,Boston,Massachusetts,02111,Completed
048,"East Mountain Medical Associates, PC",United States,Great Barrington,Massachusetts,01230,Completed
049,Alpena General Hospital,United States,Alpena,Michigan,49707,Completed
050,Regions Hospital,United States,Saint Paul,Minnesota,55101,Completed
051,Saint Louis University,United States,St Louis,Missouri,63110,Completed
052,SLHV,United States,St Louis,Missouri,63136,Completed
053,Palm Research Center,United States,Las Vegas,Nevada,89148,Completed
054,"Advanced Heart Care, LLC",United States,Bridgewater,New Jersey,08807,Completed
055,"Trinity Medical WNY, PC",United States,Cheektowaga,New York,14227,Completed
056,Northwell Health,United States,Great Neck,New York,11021,Completed
057,Mount Sinai School of Medicine,United States,Lake Success,New York,11041,Completed
058,St. Luke's Roosevelt Hospital,United States,New York,New York,10025,Completed
059,Harlem Cardiology,United States,New York,New York,10035,Completed
060,Stony Brook University Medical Center,United States,Stony Brook,New York,11794,Completed
061,"Cardiac Care and Vascular Medicine, PLLC",United States,The Bronx,New York,10469,Completed
062,Asheville Cardiology Associates,United States,Asheville,North Carolina,28803,Completed
063,Kernodle Clinic West,United States,Burlington,North Carolina,27215,Completed
064,The University of North Carolina at Chapel Hill,United States,Chapel Hill,North Carolina,27599-5021,Completed
065,Novant Health Heart and Vascular Institute,United States,Charlotte,North Carolina,28204,Completed
066,Duke University Medical Center,United States,Durham,North Carolina,27609,Completed
067,Clinical Research of Gastonia,United States,Gastonia,North Carolina,28054,Completed
068,"Clinical Trials of America, Inc",United States,Lenoir,North Carolina,28645,Completed
069,Rama Research LLC,United States,Marion,Ohio,43302,Completed
070,University of Toledo,United States,Toledo,Ohio,43614,Completed
071,South Oklahoma Heart Research Group,United States,Oklahoma City,Oklahoma,73135,Completed
072,Doylestown Health Cardiology,United States,Doylestown,Pennsylvania,18901,Completed
073,"York Hospital, WellSpan Health",United States,York,Pennsylvania,17403,Completed
074,AnMed Health Clinical Research,United States,Anderson,South Carolina,29621,Completed
075,Ralph H. Johnson VA Medical Center,United States,Charleston,South Carolina,29401,Completed
076,Palmetto Health,United States,Columbia,South Carolina,29203,Completed
077,William Jennings Bryan Dorn VA Medical Center,United States,Columbia,South Carolina,29209,Completed
078,Clinical Research of Rock Hill,United States,Rock Hill,South Carolina,29732,Completed
079,"Palmetto Research Center, LLC",United States,Spartanburg,South Carolina,29302,Completed
080,Methodist University Hospital,United States,Memphis,Tennessee,38104,Completed
081,Baylor Heart and Vascular Hospital,United States,Dallas,Texas,75226,Completed
082,Soltero Cardiovascular Research Center,United States,Dallas,Texas,75226,Completed
083,University of Texas Southwestern Medical Center,United States,Dallas,Texas,75390-8837,Completed
084,University of North Texas Health Science Center,United States,Fort Worth,Texas,76107,Completed
085,The Methodist Hospital,United States,Houston,Texas,77030,Completed
086,The Heart Hospital,United States,Plano,Texas,75093,Completed
087,Alpine Research Organization,United States,Farmington,Utah,84025,Completed
088,"Cardiac Health Management Network, P.C.",United States,Chester,Virginia,23836,Completed
089,Hunter Holmes McGuire VA Medical Center,United States,Richmond,Virginia,23249,Completed
090,Roanoke Heart Institute PLC,United States,Roanoke,Virginia,24014,Completed
091,Salem VA Medical Center,United States,Salem,Virginia,24153,Completed
092,Marshfield Clinic,United States,Marshfield,Wisconsin,54449,Completed
093,Hospital Interzonal General de Agudos Dr Jose Penna,Argentina,Bahía Blanca,,B8001DDU,Completed
094,"Hospital Italiano Regional del Sur, Bahia Blanca",Argentina,Bahía Blanca,,B8001HXM,Completed
095,CIPREC,Argentina,CABA,,C1119ACN,Completed
096,Hospital Italiano de Buenos Aires,Argentina,CABA,,C1199ABB,Completed
097,Consultorios Asociados de Endocrinología e Invest Clínica,Argentina,Ciudad Autonoma Buenos Aires,,C1425AGC,Completed
098,Instituto Cardiovascular de Buenos Aires,Argentina,Ciudad Autonoma Buenos Aires,,C1428ART,Completed
099,CCBR - Buenos Aires - AR,Argentina,Ciudad Autonoma Buenos Aires,,C1430CKE,Completed
100,Centro Médico Viamonte,Argentina,Ciudad Autonoma de Bs As,,C1120AAC,Completed
101,Sanatorio Güemes,Argentina,Ciudad Autónoma de Bs As,,C1180AAX,Completed
102,Instituto Medico Elsa Perez SRL (IMEP),Argentina,Ciudadela,,1702,Completed
103,Clinica Coronel Suarez SA,Argentina,Coronel Suárez,,B7540DOL,Completed
104,Instituto de Cardiología de Corrientes,Argentina,Corrientes,,W3400AMZ,Completed
105,Sanatorio Mayo Privado SA,Argentina,Córdoba,,5000,Completed
106,Centro de Investigaciones Clinicas Instituto del Corazon,Argentina,Córdoba,,X5000EVQ,Completed
107,Sanatorio Allende S.A.,Argentina,Córdoba,,X5000JHQ,Completed
108,Clínica Colombo,Argentina,Córdoba,,X5002AOQ,Completed
109,Instituto Médico DAMIC S.R.L.,Argentina,Córdoba,,X5003DCE,Completed
110,Hospital Privado,Argentina,Córdoba,,X5016KEH,Completed
111,Hospital Italiano de La Plata,Argentina,La Plata,,B1900AXI,Completed
112,Centro de Investigaciones Médicas,Argentina,Mar del Plata,,B7600FYK,Completed
113,Hospital Privado de Comunidad,Argentina,Mar del Plata,,B7602CBM,Completed
114,Clínica Olivos,Argentina,Olivos,,1602,Completed
115,CER Instituto Médico,Argentina,Quilmes,,B1878DVB,Completed
116,Instituto de Investigaciones Clínicas de Quilmes,Argentina,Quilmes,,B1878GEG,Completed
117,Instituto de Investigaciones Clinicas de Rosario,Argentina,Rosario,,2000,Completed
118,Instituto Medico Fundación Grupo Colaborativo Rosario,Argentina,Rosario,,2000,Completed
119,Sanatorio Británico,Argentina,Rosario,,2000,Completed
120,Sanatorio Plaza,Argentina,Rosario,,2000,Completed
121,Sanatorio Parque,Argentina,Rosario,,S2000DSV,Completed
122,Instituto CAICI,Argentina,Rosario,,S2000PBJ,Completed
123,"CORDIS S.A., Salta",Argentina,Salta,,A4400ANW,Completed
