Site Number,Site Name,Country,City,State,Zip,Status
001,"Alabama Medical Group, PC /ID# 159836",United States,Mobile,Alabama,36608-1787,Completed
002,"Arizona Arthritis & Rheumatology Research, PLLC /ID# 160047",United States,Mesa,Arizona,85210-6871,Completed
003,Sun Valley Arthritis Center Ltd. /ID# 161203,United States,Peoria,Arizona,85381,Completed
004,"Duplicate_AZ Arthritis and Rheumotology Research, PLLC /ID# 160006",United States,Phoenix,Arizona,85032-9306,Completed
005,Osteoporosis Medical Center /ID# 161411,United States,Beverly Hills,California,90211,Completed
006,Covina Arthritis Clinic /ID# 159919,United States,Covina,California,91722,Completed
007,Triwest Research Associates /ID# 159915,United States,El Cajon,California,92020,Completed
008,Duplicate_Providence Medical Foundation /ID# 160005,United States,Fullerton,California,92835,Completed
009,"C.V. Mehta MD, Med Corporation /ID# 161192",United States,Hemet,California,92543,Completed
010,"Care Access Research, Huntington Beach /ID# 160049",United States,Huntington Beach,California,92648,Completed
011,"Purushotham & Akther Kotha MD, Inc /ID# 159834",United States,La Mesa,California,91942,Completed
012,Stanford University School of Med /ID# 161402,United States,Stanford,California,94305-2200,Completed
013,Inland Rheum Clin Trials Inc. /ID# 159839,United States,Upland,California,91786,Completed
014,Medvin Clinical Research /ID# 160045,United States,Whittier,California,90606,Completed
015,Denver Arthritis Clinic /ID# 159899,United States,Denver,Colorado,80230,Completed
016,Colorado Arthritis Associates /ID# 159856,United States,Lakewood,Colorado,80228,Completed
017,Duplicate_Arthritis & Rheumatic Disease Specialties /ID# 161409,United States,Aventura,Florida,33180,Completed
018,International Medical Research /ID# 160051,United States,Daytona Beach,Florida,32117,Completed
019,Precision Research Organization /ID# 161293,United States,Miami Lakes,Florida,33016-1501,Completed
020,Duplicate_Suncoast Clinical Research /ID# 161417,United States,New Port Richey,Florida,34652,Completed
021,Millennium Research /ID# 159833,United States,Ormond Beach,Florida,32174,Completed
022,"Arthritis Center, Inc. /ID# 163463",United States,Palm Harbor,Florida,34684,Completed
023,Gulf Region Clinical Res Inst /ID# 159860,United States,Pensacola,Florida,32514,Completed
024,Sarasota Arthritis Center /ID# 159854,United States,Sarasota,Florida,34239,Completed
025,BayCare Medical Group /ID# 161405,United States,St. Petersburg,Florida,33705,Completed
026,West Broward Rheumatology Associates /ID# 161412,United States,Tamarac,Florida,33321,Completed
027,Clinical Research of West Florida - Tampa /ID# 160069,United States,Tampa,Florida,33606-1246,Completed
028,"Clinical Research of West Florida, Inc /ID# 159840",United States,Tampa,Florida,33606-1246,Completed
029,USF Health Morsani Center for /ID# 161291,United States,Tampa,Florida,33612,Completed
030,"BayCare Medical Group, Inc. /ID# 159912",United States,Tampa,Florida,33614-7101,Completed
031,Florida Medical Clinic /ID# 160013,United States,Zephyrhills,Florida,33542,Completed
032,"Jefrey D. Lieberman, MD, P.C. /ID# 159842",United States,Decatur,Georgia,30033,Completed
033,Atlanta Research Center for Rheumatology /ID# 161201,United States,Marietta,Georgia,20060,Completed
034,Velocity Clinical Research - Boise /ID# 159922,United States,Meridian,Idaho,83642,Completed
035,Great Lakes Clinical Trials /ID# 163438,United States,Chicago,Illinois,60640,Completed
036,Deerbrook Medical Associates /ID# 159815,United States,Libertyville,Illinois,60048,Completed
037,Duplicate_Clinic of Robert Hozman/Clinical Investigation Specialists /ID# 160068,United States,Skokie,Illinois,60076,Completed
038,"The Arthritis & Diabetes Clinic, Inc. /ID# 161294",United States,Monroe,Louisiana,71203,Completed
039,Arthritis Treatment Center /ID# 160053,United States,Frederick,Maryland,21204,Completed
040,The Center for Rheumatology and Bone Research /ID# 159900,United States,Wheaton,Maryland,20902,Completed
041,Clinical Pharmacology Study Group /ID# 158712,United States,Worcester,Massachusetts,01605,Completed
042,Clinvest Research LLC /ID# 161208,United States,Springfield,Missouri,65807,Completed
043,Westroads Clinical Research /ID# 160004,United States,Omaha,Nebraska,68114,Completed
044,Atlantic Coast Research /ID# 159810,United States,Toms River,New Jersey,08755,Completed
045,Duplicate_Arthritis and Osteo Assoc /ID# 160015,United States,Las Cruces,New Mexico,88011,Completed
046,Center for Rheumatology LLP /ID# 167046,United States,Albany,New York,12203-3710,Completed
047,St. Lawrence Health System /ID# 159857,United States,Potsdam,New York,13676,Completed
048,"DJL Clinical Research, PLLC /ID# 161414",United States,Charlotte,North Carolina,28211,Completed
049,"Physicians East, PA /ID# 159898",United States,Greenville,North Carolina,27834,Completed
050,Shanahan Rheuma & Immuno /ID# 160012,United States,Raleigh,North Carolina,27617,Completed
051,PMG Research of Wilmington LLC /ID# 161403,United States,Wilmington,North Carolina,28401,Completed
052,Trinity Health Med Arts Clinic /ID# 159811,United States,Minot,North Dakota,58701,Completed
053,"STAT Research, Inc. /ID# 161416",United States,Vandalia,Ohio,45377-9464,Completed
054,Health Research of Oklahoma /ID# 159913,United States,Oklahoma City,Oklahoma,73103-2400,Completed
055,Altoona Ctr Clinical Res /ID# 159861,United States,Duncansville,Pennsylvania,16635,Completed
056,University of Pittsburgh MC /ID# 161193,United States,Pittsburgh,Pennsylvania,15260,Completed
057,"Articularis Healthcare Group, Inc d/b/a Low Country Rheumatology /ID# 163462",United States,Summerville,South Carolina,29486-7887,Completed
058,"Rheumatology Consultants, PLLC /ID# 161408",United States,Knoxville,Tennessee,37909,Completed
059,Dr. Ramesh Gupta /ID# 160067,United States,Memphis,Tennessee,38119,Completed
060,"Tekton Research, Inc. /ID# 160008",United States,Austin,Texas,78745,Completed
061,Diagnostic Group /ID# 161406,United States,Beaumont,Texas,77701,Completed
062,Arthritis and Osteoporosis Clinic Of Brazos Valley /ID# 163439,United States,College Station,Texas,77845,Completed
063,Adriana Pop-Moody MD Clinic PA /ID# 160009,United States,Corpus Christi,Texas,78404,Completed
064,Metroplex Clinical Research /ID# 159818,United States,Dallas,Texas,75231,Completed
065,Rheumatic Disease Clin Res Ctr /ID# 161252,United States,Houston,Texas,77004,Completed
066,Accurate Clinical Research /ID# 160052,United States,Houston,Texas,77089,Completed
067,P&I Clinical Research /ID# 159837,United States,Lufkin,Texas,75904-3132,Completed
068,SW Rheumatology Res. LLC /ID# 160014,United States,Mesquite,Texas,75150,Completed
069,DM Clinical Research - Tomball /ID# 161753,United States,Tomball,Texas,77375,Completed
070,Arthritis & Osteoporosis Clinic /ID# 161400,United States,Waco,Texas,76710,Completed
071,"Arthritis Clinic of N. VA, P.C /ID# 159858",United States,Arlington,Virginia,22205,Completed
072,Duplicate_Swedish Medical Center /ID# 159918,United States,Seattle,Washington,98104,Completed
073,Emeritus Research Sydney /ID# 166751,Australia,Botany,New South Wales,2019,Completed
074,The Queen Elizabeth Hospital /ID# 200840,Australia,Woodville South,South Australia,5011,Completed
075,Box Hill Hospital /ID# 166752,Australia,Box Hill,Victoria,3128,Completed
