Site Number,Site Name,Country,City,State,Zip,Status
001,Stanford Cancer Center,United States,Stanford,California,94305-5820,Completed
002,Florida Cancer Specialists; Department of Oncology,United States,Fort Myers,Florida,33901-8101,Completed
003,"Florida Cancer Specialist, North Region",United States,St. Petersburg,Florida,33705,Completed
004,Northwest Georgia Oncology Centers PC - Marietta,United States,Marietta,Georgia,30060,Completed
005,HCA Midwest Health,United States,Kansas City,Missouri,64132,Completed
006,The Valley Hospital,United States,Paramus,New Jersey,07652,Completed
007,Magee-Woman's Hospital,United States,Pittsburgh,Pennsylvania,15213,Completed
008,Tennessee Oncology; Sarah Cannon Research Institute,United States,Nashville,Tennessee,37203,Completed
009,Centro Oncologico Riojano Integral (CORI),Argentina,La Rioja,,F5300COE,Completed
010,Centro de Pesquisas Clinicas em Oncologia - CPCO,Brazil,Cachoeiro de Itapemirim,Espírito Santo,29308-014,Completed
011,Santa Casa de Misericordia de Salvador,Brazil,Salvador,Estado de Bahia,40050-410,Completed
012,Hospital Araujo Jorge; Departamento de Ginecologia E Mama,Brazil,Goiânia,Goiás,74605-070,Completed
013,Hospital Nossa Senhora da Conceicao,Brazil,Porto Alegre,Rio Grande do Sul,90040-373,Completed
014,Hospital Sao Lucas - PUCRS,Brazil,Porto Alegre,Rio Grande do Sul,90610-000,Completed
015,Hospital Perola Byington,Brazil,São Paulo,São Paulo,01317-000,Completed
016,Tom Baker Cancer Centre-Calgary,Canada,Calgary,Alberta,T2N 4N2,Completed
017,Cross Cancer Institute,Canada,Edmonton,Alberta,T6G 1Z2,Completed
018,Kingston General Hospital,Canada,Kingston,Ontario,K7L 2V7,Completed
019,Grand River Hospital,Canada,Kitchener,Ontario,N2G 1G3,Completed
020,London Regional Cancer Centre,Canada,London,Ontario,N6A 4L6,Completed
021,Sunnybrook Odette Cancer Centre,Canada,Toronto,Ontario,M4N 3M5,Completed
022,McGill University; Glen Site; Oncology,Canada,Montreal,Quebec,H4A 3J1,Completed
023,Hopital du Saint Sacrement,Canada,Québec,Quebec,G1S 4L8,Completed
024,Centre Hospitalier Universitaire de Sherbrooke - Hopital Fleurimont,Canada,Sherbrooke,Quebec,J1H 5N4,Completed
025,Cancer Hospital Chinese Academy of Medical Sciences.,China,Beijing,,100021,Completed
026,Beijing Union Hospital,China,Beijing,,100730,Completed
