Site Number,Site Name,Country,City,State,Zip,Status
001,Arizona Oncology Associates PC,United States,Tucson,Arizona,85711,Completed
002,USC/Keck School of Medicine,United States,Los Angeles,California,90033,Completed
003,The Oncology Institute of Hope and Innovation,United States,Whittier,California,90603,Completed
004,Georgetown University Medical Center,United States,Georgetown,District of Columbia,20007,Completed
005,Massachusetts General Hospital,United States,Boston,Massachusetts,02114,Completed
006,Brigham and Women's Hospital,United States,Boston,Massachusetts,02115,Completed
007,Montefiore Medical Center,United States,New York,New York,10461,Completed
008,New York Medical College at Westchester Medical Center,United States,Valhalla,New York,10595,Completed
009,East Carolina University,United States,Greenville,North Carolina,27834,Completed
010,Cleveland Clinic,United States,Cleveland,Ohio,44195,Completed
011,Hospital of the University of Pennsylvania,United States,Philadelphia,Pennsylvania,19104,Completed
012,University of Pittsburgh Medical Center,United States,Pittsburgh,Pennsylvania,15232,Completed
013,UW Hospitals and Clinics,United States,Madison,Wisconsin,53792,Completed
014,USC Health Clinics,Australia,Buderim,Queensland,4556,Completed
015,Ballarat Oncology & Haematology,Australia,Ballarat,Victoria,3350,Completed
016,Monash Medical Centre,Australia,Clayton,Victoria,3168,Completed
017,Medical University of Vienna,Austria,Vienna,,1090,Completed
018,ZNA Stuivenberg,Belgium,Antwerp,,2060,Completed
019,Centre Hospitalier Jolimont,Belgium,La Louvière,,7100,Completed
020,University Hospitals Leuven,Belgium,Leuven,,3000,Completed
021,St. Michael's Hospital,Canada,Toronto,Ontario,M5B1W8,Completed
022,McGill University Health Center,Canada,Montreal,Quebec,H4A3J1,Completed
023,University of Alberta,Canada,Edmonton,,T6G1Z1,Completed
024,CHU de Caen,France,Caen,,14033,Completed
025,Centre Hospitalier Henri Mondor,France,Créteil,,94000,Completed
026,Centre Hospitalier Lyon Sud,France,Lyon,,69495,Completed
027,Gemeinschaftspraxis Hämatologie-Onkologie,Germany,Dresden,,1307,Completed
028,Universitätsklinikum Essen,Germany,Essen,,45147,Completed
029,"Univ Ulm, Inst Klin. Transfusions. Immungen",Germany,Ulm,,89081,Completed
030,Hadassah Medical Center,Israel,Jerusalem,,91120,Completed
031,Laniado Hospital,Israel,Netanya,,4244916,Completed
032,Tel Aviv Sourasky Medical Center,Israel,Tel Aviv,,64239,Completed
033,A. O. Spedali Civili di Brescia,Italy,Brescia,,25123,Completed
034,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,Italy,Milan,,20122,Completed
035,"U.O.C. Ematologia- Policlinico ""A. Gemelli""",Italy,Rome,,00168,Completed
036,U.O.C. Ematologia Ospedale San Bortolo,Italy,Vicenza,,36100,Completed
037,Tokai University Hospital,Japan,Isehara,Kanagawa,259-1193,Completed
038,Saitama Medical University Hospital,Japan,Iruma-gun,Saitama,350-0495,Completed
039,Juntendo University Nerima Hospital,Japan,Tokyo,Tokyo-To,177-8521,Completed
040,Academisch Medisch Centrum,Netherlands,Amsterdam,,1105,Completed
041,Haukeland University Hospital,Norway,Bergen,,5053,Completed
042,Oslo University Hospital,Norway,Oslo,,0372,Completed
043,"St Olavs Hospital, Avdeling for blodsykdommer",Norway,Trondheim,,7030,Completed
044,Hospital Universitario Puerta de Hierro,Spain,Majadahonda,Madrid,28222,Completed
045,Hospital Clinci i Provincial de Barcelona,Spain,Barcelona,,08036,Completed
046,Hospital Universitario Virgen del Rocio,Spain,Seville,,41013,Completed
047,Hospital Universitario Dr. Peset,Spain,Valencia,,46017,Completed
048,"St James Hospital, Leeds",United Kingdom,Leeds,,LS9 7TF,Completed
049,University College London,United Kingdom,London,,WC1E 6AG,Completed
