Site Number,Site Name,Country,City,State,Zip,Status
001,St. Josephs Hospital and Medical Center,United States,Phoenix,Arizona,85260,Completed
002,City of Hope,United States,Duarte,California,91010,Completed
003,Uni of California - San Diego; Cancer Center & Dept of Medicine,United States,La Jolla,California,92093,Completed
004,Kaiser Permanente Northern California,United States,Novato,California,94589,Completed
005,University of California Irvine Medical Center,United States,Orange,California,92868,Completed
006,Kaiser Permanente Sacramento Medical Center,United States,Sacramento,California,95825,Completed
007,California Pacific Medical Center,United States,San Francisco,California,94115,Completed
008,Kaiser Permanente - San Francisco Medical Center,United States,San Francisco,California,94118,Completed
009,University of California Los Angeles,United States,Santa Monica,California,90404,Completed
010,Kaiser Permanente - Walnut Creek,United States,Walnut Creek,California,94596,Completed
011,Banner MD Anderson Cancer Center,United States,Greeley,Colorado,85234,Completed
012,Georgetown University,United States,Washington D.C.,District of Columbia,20007,Completed
013,Moffitt Cancer Center,United States,Tampa,Florida,33612,Completed
014,Massachusetts General Hospital,United States,Boston,Massachusetts,02114,Completed
015,Henry Ford Health System,United States,Detroit,Michigan,48202,Completed
016,Washington University; Wash Uni. Sch. Of Med,United States,St Louis,Missouri,63110,Completed
017,University of New Mexico Comprehensive Cancer Center,United States,Albuquerque,New Mexico,87102,Completed
018,Laura and ISAAC Perlmutter Cancer Center at NYU Langone.,United States,New York,New York,10016,Completed
019,Thomas Jefferson University,United States,Philadelphia,Pennsylvania,19107,Completed
020,M.D Anderson Cancer Center; Uni of Texas At Houston,United States,Houston,Texas,77030,Completed
021,Swedish Cancer Inst.,United States,Seattle,Washington,98104,Completed
022,Bankstown-Lidcombe Hospital,Australia,Bankstown,New South Wales,2200,Completed
023,St George Hospital,Australia,Kogarah,New South Wales,2217,Completed
024,The Queen Elizabeth Hospital,Australia,Woodville,South Australia,5011,Completed
025,Sunshine Hospital,Australia,St Albans,Victoria,3021,Completed
026,Ottawa Hospital Research Institute,Canada,Ottawa,Ontario,K1Y 4E9,Completed
027,Centre hospitalier de l'Universite de Montreal (CHUM),Canada,Montreal,Quebec,H2X 0A9,Completed
028,Jewish General Hospital,Canada,Montreal,Quebec,H3T 1E2,Completed
029,McGill University Health Centre - Glen Site,Canada,Montreal,Quebec,H4A 3J1,Completed
030,Peking Union Medical College Hospital,China,Beijing,,100032,Completed
031,Beijing Friendship Hospital,China,Beijing,,100050,Completed
032,Beijing Cancer Hospital,China,Beijing,,100142,Completed
033,the First Hospital of Jilin University,China,Changchun,,130021,Completed
034,Jilin Cancer Hospital,China,Changchun,,132013,Completed
035,Hunan Cancer Hospital,China,Changsha,,410013,Completed
036,The First People's Hospital of Foshan; Local Ethic Committee,China,Foshan,,510000,Completed
037,The 900th Hospital of PLA joint service support force,China,Fuzhou,,110016,Completed
038,"Nanfang Hospital, Southern Medical University",China,Guangzhou,,510515,Completed
039,Sun Yet-sen University Cancer Center,China,Guangzhou,,510663,Completed
040,"The First Affiliated Hospital of College of Medicine, Zhejiang University",China,Hangzhou,,310003,Completed
041,Sir Run Run Shaw Hospital,China,Hangzhou,,310018,Completed
042,Zhejiang Cancer Hospital; Zhejiang Cancer Hospital cancer department,China,Hangzhou,,310022,Completed
043,Harbin Medical University Cancer Hospital,China,Harbin,,150081,Completed
044,The First Affiliated Hospital of Anhui Medical University,China,Hefei,,230022,Completed
045,Anhui Province Cancer Hospital,China,Hefei,,230031,Completed
046,General Hospital of Jinan Military Command of PLA,China,Jinan,,250031,Completed
047,The 81st Hospital of P.L.A.,China,Nanjing,,210002,Completed
048,Zhongshan Hospital Fudan University,China,Shanghai,,200032,Completed
049,Fudan University Shanghai Cancer Center,China,Shanghai,,200120,Completed
050,"Tongji Hosp, Tongji Med. Col, Huazhong Univ. of Sci. & Tech",China,Wuhan,,430030,Completed
051,Masarykuv onkologicky ustav,Czechia,Brno,,656 53,Completed
052,Fakultni nemocnice Olomouc; Onkologicka klinika,Czechia,Olomouc,,779 00,Completed
053,Hopital Claude Huriez;Gastro Enterologie,France,Lille,,59037,Completed
054,Hopital De La Croix Rousse; Hepatologie Gastro Enterologie,France,Lyon,,69317,Completed
055,Hopital Timone Adultes; Gastro Enterologie,France,Marseille,,13385,Completed
056,Hopital Saint-Eloi; Hepatologie-Gastro-Enterologie,France,Montpellier,,34295,Completed
057,Hopital Hotel Dieu Et Hme; Hepatologie Gastro Enterologie,France,Nantes,,44093,Completed
058,CHU Nice - Hôpital de l'Archet 2; service Hepato gastro enterologie,France,Nice,,06202,Completed
059,Hopital Charles Nicolle; Gastroenterologie,France,Rouen,,76031,Completed
060,Hopital Hautepierre; Gastro Enterologie,France,Strasbourg,,67098,Completed
061,Hôpital d'Adultes; Service hépato-gastro-entérologie,France,Vandœuvre-lès-Nancy,,54511,Completed
062,Institut Gustave Roussy; Gastro-Enterologie,France,Villejuif,,94805,Completed
063,Campus Virchow-Klinikum Charité Centrum 13; Medizinische Klinik; Abt.Hepatologie u.Gastroenterologie,Germany,Berlin,,13353,Completed
064,Klinik Johann Wolfgang von Goethe Uni; Zentrum der Inneren Medizin; Medizinische Klinik I,Germany,Frankfurt,,60590,Completed
065,Universitaetsklinikum Hamburg-Eppendorf; I. Medizinische Klinik - Gastroenterologie,Germany,Hamburg,,20246,Completed
066,Med. Hochschule Hannover; Gastroenterologie,Germany,Hanover,,30625,Completed
067,Universitätsklinikum Leipzig Medizinische Klinik II Gastroenterolog. u. Hepatolog.,Germany,Leipzig,,04103,Completed
068,Uniklinik Mainz; I. Medizinische Klinik,Germany,Mainz,,55131,Completed
069,Klinikum der Uni Regensburg; Klinik f.Innere Medizin I Abt. Hämatologie und Internistische Onkologie,Germany,Regensburg,,93053,Completed
070,Queen Mary Hospital; Dept. Of Haematology & Oncology,Hong Kong,Hong Kong,,,Completed
071,Prince of Wales Hosp; Dept. Of Clinical Onc,Hong Kong,Shatin,,,Completed
072,Az. Osp. Rummo; Oncologia Medica,Italy,Benevento,Campania,82100,Completed
073,"IRST Istituto Scientifico Romagnolo Per Lo Studio E Cura Dei Tumori, Sede Meldola; Oncologia Medica",Italy,Meldola,Emilia-Romagna,47014,Completed
