Site Number,Site Name,Country,City,State,Zip,Status
001,The Institute for Liver Health,United States,Chandler,Arizona,85224-5688,Completed
002,"Mayo Clinic Arizona, Mayo Clinic Hospital",United States,Phoenix,Arizona,85054,Completed
003,Liver Wellness Center,United States,Little Rock,Arkansas,72204,Completed
004,Arkansas Gastroenterology,United States,North Little Rock,Arkansas,72117,Completed
005,eStudySite,United States,Chula Vista,California,91911-6660,Completed
006,Southern California Liver Center,United States,Coronado,California,92118,Completed
007,Fresno Clinical Research Center,United States,Fresno,California,93720,Completed
008,UCSD NAFLD Clinical Research Center,United States,La Jolla,California,92037,Completed
009,Ruane Clinical Research Group Inc.,United States,Los Angeles,California,90036,Completed
010,Cedars-Sinai Medical Center,United States,Los Angeles,California,99352,Completed
011,California Liver Research Institute,United States,Pasadena,California,91105,Completed
012,Huntington Medical Research Institutes Liver Center,United States,Pasadena,California,91105,Completed
013,Inland Empire Liver Foundation,United States,Rialto,California,92377,Completed
014,"University of California, Davis Medical Center (study visits)",United States,Sacramento,California,95817,Completed
015,Medical Associates Research Group,United States,San Diego,California,92123,Completed
016,"South Denver Gastroenterology, PC",United States,Englewood,Colorado,80113,Completed
017,Integrity Clinical Research,United States,Doral,Florida,33166,Completed
018,UF Hepatology Research at CTRB,United States,Gainesville,Florida,32610,Completed
019,Schiff Center for Liver Diseases/University of Miami,United States,Miami,Florida,33136,Completed
020,IMIC Inc,United States,Miami,Florida,33157,Completed
021,Genoma Research Group,United States,Miami,Florida,33165,Completed
022,Florida Research Institute,United States,Tampa,Florida,34211,Completed
023,Digestive Healthcare of Georgia,United States,Atlanta,Georgia,30309,Completed
024,Piedmont Hospital,United States,Atlanta,Georgia,30309,Completed
025,Gastrointestinal Diseases Research,United States,Columbus,Georgia,31904,Completed
026,Gastrointestinal Specialists of Georgia,United States,Marietta,Georgia,30060,Completed
027,Northwestern University; Feinberg School of Medicine,United States,Chicago,Illinois,60611,Completed
028,Indianapolis Gastroenterology Research Foundation,United States,Indianapolis,Indiana,46237,Completed
029,"Iowa Digestive Disease Center, P.C.",United States,Clive,Iowa,50325,Completed
030,University of Kansas Medical Center,United States,Kansas City,Kansas,66160,Completed
031,"Delta Research Partners, LLC",United States,Bastrop,Louisiana,71220,Completed
032,Tulane University,United States,New Orleans,Louisiana,70112,Completed
033,"Louisiana Research Center, LLC",United States,Shreveport,Louisiana,71105,Completed
034,Mercy Medical Center,United States,Baltimore,Maryland,21202,Completed
035,"Digestive Disease Associates, PA",United States,Catonsville,Maryland,21228,Completed
036,Beth Israel Deaconess Medical Center,United States,Boston,Massachusetts,02215,Completed
037,Henry Ford Health Systems,United States,Detroit,Michigan,48202,Completed
038,Mayo Clinic,United States,Rochester,Minnesota,55905,Completed
039,Southern Therapy and Advanced Research (STAR) LLC,United States,Ridgeland,Mississippi,39157,Completed
040,Saint Luke's Hospital of Kansas City,United States,Kansas City,Missouri,64111,Completed
041,Saint Louis University,United States,St Louis,Missouri,63110,Completed
042,"Jubilee Clinical Research, Inc.",United States,Las Vegas,Nevada,89106,Completed
043,Rutgers New Jersey Medical School- Doctors Office Center,United States,Newark,New Jersey,07103,Completed
044,Sandra Atlas Bass Center for Liver Diseases and Transplantation,United States,Manhasset,New York,11030,Completed
045,Icahn School of Medicine at Mount Sinai Beth Israel,United States,New York,New York,10003,Completed
046,"Concorde Medical Group, PLLC",United States,New York,New York,10016,Completed
047,NYU Langone Health,United States,New York,New York,10016,Completed
048,Weill Cornell Medical College,United States,New York,New York,10021,Completed
049,Icahn School of Medicine at Mount Sinai,United States,New York,New York,10029,Completed
050,Montefiore Medical Center,United States,The Bronx,New York,10467,Completed
051,Carolinas Healthcare System Center for Liver Disease and Transplant,United States,Charlotte,North Carolina,28204,Completed
052,"Duke University Medical Center, Duke South Clinics",United States,Durham,North Carolina,27710,Completed
053,"Cumberland Research Associates, LLC",United States,Fayetteville,North Carolina,28304,Completed
054,Consultants for Clinical Research wed,United States,Cincinnati,Ohio,45249,Completed
055,Hospital of the University of Pennsylvania- Perelman Center for Advanced Medicine,United States,Philadelphia,Pennsylvania,19104,Completed
056,Thomas Jefferson University,United States,Philadelphia,Pennsylvania,19107,Completed
057,UPMC - Center for Liver Diseases at the Thomas E. Starlz Institute,United States,Pittsburgh,Pennsylvania,15213,Completed
058,VA Pittsburgh Healthcare System,United States,Pittsburgh,Pennsylvania,15240,Completed
059,University Gastroenterology,United States,Providence,Rhode Island,02905,Completed
060,Medical University of South Carolina (Liver Biopsy),United States,Charleston,South Carolina,29425,Completed
061,GHS Gastroenterology and Liver Center,United States,Greenville,South Carolina,29605,Completed
062,Gastro One,United States,Germantown,Tennessee,38138,Completed
063,"Quality Medical Research, PLLC",United States,Nashville,Tennessee,37211,Completed
064,"Texas Clinical Research Institute, LLC",United States,Arlington,Texas,76012,Completed
