Site Number,Site Name,Country,City,State,Zip,Status
001,"Total Skin and Beauty Dermatology Center, PC",United States,Birmingham,Alabama,35205,Completed
002,"University of Alabama at Birmingham, Dermatology at the Whitaker Clinic",United States,Birmingham,Alabama,35233,Completed
003,"Clinical Research Center of Alabama, LLC",United States,Birmingham,Alabama,35244,Completed
004,Tien Q Nguyen MD Inc dba First OC Dermatology,United States,Fountain Valley,California,92708,Completed
005,"Center for Dermatology Clinical Research, Inc.",United States,Fremont,California,94538,Completed
006,"Beach Allergy and Asthma Specialty Group, A Medical Corporation",United States,Long Beach,California,90808,Completed
007,"Dermatology Specialists, Inc.",United States,Oceanside,California,92056,Completed
008,University of California San Diego,United States,San Diego,California,92122,Completed
009,San Luis Dermatology and Laser Clinic,United States,San Luis Obispo,California,93405,Completed
010,"Southern California Dermatology, Inc.",United States,Santa Ana,California,92701,Completed
011,Mosaic Dermatology,United States,Santa Monica,California,90403,Completed
012,Bay Pines VAHCS,United States,Bay Pines,Florida,33744,Completed
013,"Skin Care Research, LLC",United States,Boca Raton,Florida,33486,Completed
014,Skin Research Institute,United States,Coral Gables,Florida,33146,Completed
015,Baumann Cosmetic and Research Institute,United States,Miami,Florida,33137,Completed
016,Park Avenue Dermatology,United States,Orange Park,Florida,32073,Completed
017,"USF Asthma, Allergy & Immunology Clinical Research Unit",United States,Tampa,Florida,33613,Completed
018,Emory University,United States,Atlanta,Georgia,30322,Completed
019,"Dermatologic Surgery Specialists, PC",United States,Macon,Georgia,31217,Completed
020,"Midwest Allergy Sinus Asthma, SC",United States,Normal,Illinois,61761,Completed
021,NorthShore University HealthSystem Dermatology Clinical Trials Unit,United States,Skokie,Illinois,60077,Completed
022,"Dawes Fretzin Clinical Research Group, LLC",United States,Indianapolis,Indiana,46250,Completed
023,Ds Research,United States,New Albany,Indiana,47150,Completed
024,The Indiana Clinical Trials Center,United States,Plainfield,Indiana,46168,Completed
025,"Kansas City Dermatology, P.A.",United States,Overland Park,Kansas,66215,Completed
026,DXP Imaging,United States,Louisville,Kentucky,40216,Completed
027,Skin Sciences PLLC,United States,Louisville,Kentucky,40217,Completed
028,"Qualmedica Research, LLC",United States,Owensboro,Kentucky,42301,Completed
029,Owensboro Dermatology Associates,United States,Owensboro,Kentucky,42303,Completed
030,"Meridian Clinical Research, LLC",United States,Baton Rouge,Louisiana,70808,Completed
031,Tulane University Health Sciences Center,United States,New Orleans,Louisiana,70112,Completed
032,Tufts Medical Center,United States,Boston,Massachusetts,02111,Completed
033,Mayo Clinic,United States,Rochester,Minnesota,55905,Completed
034,MediSearch Clinical Trials,United States,Saint Joseph,Missouri,64506,Completed
035,Saint Louis University Dermatology,United States,St Louis,Missouri,63104,Completed
036,Forest Hills Dermatology Group,United States,Kew Gardens,New York,11374,Completed
037,Juva Skin and Laser Center,United States,New York,New York,10022,Completed
038,UR Dermatology at College Town,United States,Rochester,New York,14620,Completed
039,"M3 - Wake Research, Inc.",United States,Raleigh,North Carolina,27612,Completed
040,Bexley Dermatology Research,United States,Bexley,Ohio,43209,Completed
041,Lynn Health Science Institute,United States,Oklahoma City,Oklahoma,73112,Completed
042,Newton Clinical Research,United States,Oklahoma City,Oklahoma,73120,Completed
043,Oregon Medical Research Center,United States,Portland,Oregon,97223,Completed
044,"Paddington Testing Co, Inc.",United States,Philadelphia,Pennsylvania,19103,Completed
045,Health Concepts,United States,Rapid City,South Dakota,57702,Completed
046,"Dermatology Treatment & Research Center, PA",United States,Dallas,Texas,75230,Completed
047,"Innovate Research, LLC",United States,Fort Worth,Texas,76244,Completed
048,The University of Texas Health Science Center Houston,United States,Houston,Texas,77030,Completed
049,Ventavia Research Group Hurst,United States,Hurst,Texas,76054,Completed
050,"Virginia Clinical Research, Inc",United States,Norfolk,Virginia,23502,Completed
