Site Number,Site Name,Country,City,State,Zip,Status
001,Accel Research Sites,United States,Birmingham,Alabama,35216,Completed
002,"Coastal Clinical Research, Inc.",United States,Mobile,Alabama,36608,Completed
003,East Valley Gastroenterology and Hepatology Associates,United States,Chandler,Arizona,85224,Completed
004,The Pain Center of Arizona,United States,Peoria,Arizona,85381,Completed
005,"MedPharmics, LLC",United States,Phoenix,Arizona,85015,Completed
006,HOPE Research Institute,United States,Phoenix,Arizona,85018,Completed
007,The Pain Center of Arizona,United States,Phoenix,Arizona,85018,Completed
008,"Anaheim Clinical Trials, LLC",United States,Anaheim,California,92801,Completed
009,"Diablo Clinical Research, Inc.",United States,Walnut Creek,California,94598,Completed
010,"Clinical Research Consulting, LLC",United States,Milford,Connecticut,06460,Completed
011,Nature Coast Clinical Research,United States,Crystal River,Florida,34429,Completed
012,Accel Research Sites - Clinical Research Unit,United States,DeLand,Florida,32720,Completed
013,"Research Centers of America, LLC",United States,Hollywood,Florida,33024,Completed
014,Jacksonville Center for Clinical Research,United States,Jacksonville,Florida,32216,Completed
015,"Suncoast Research Group, LLC",United States,Miami,Florida,33135,Completed
016,Acevedo Clinical Research Associates,United States,Miami,Florida,33142,Completed
017,"Qps-Mra, Llc",United States,South Miami,Florida,33143,Completed
018,Atlanta Center for Medical Research,United States,Atlanta,Georgia,30331,Completed
019,Meridian Clinical Research LLC,United States,Savannah,Georgia,31406,Completed
020,Clinical Research Atlanta,United States,Stockbridge,Georgia,30281,Completed
021,East-West Medical Research Institute,United States,Honolulu,Hawaii,96814,Completed
022,"Axtell Clinic, P.A.",United States,Newton,Kansas,67114,Completed
023,"Heartland Research Associates, LLC",United States,Newton,Kansas,67114,Completed
024,"Heartland Research Associates, LLC",United States,Wichita,Kansas,67205,Completed
025,Northwest Family Physicians,United States,Wichita,Kansas,67205,Completed
026,"Heartland Research Associates, LLC",United States,Wichita,Kansas,67207,Completed
027,"Meridian Clinical Research, LLC",United States,Rockville,Maryland,20854,Completed
028,Sundance Clinical Research,United States,St Louis,Missouri,63141,Completed
029,"Meridian Clinical Research, LLC",United States,Norfolk,Nebraska,68701,Completed
030,Meridian Clinical Research LLC,United States,Omaha,Nebraska,68134,Completed
031,"ActivMed Practices & Research, Inc.",United States,Portsmouth,New Hampshire,03801,Completed
032,United Medical Associates,United States,Binghamton,New York,13901,Completed
033,"Regional Clinical Research, Inc.",United States,Endwell,New York,13760,Completed
034,"Rochester Clinical Research, Inc.",United States,Rochester,New York,14609,Completed
035,PharmQuest,United States,Greensboro,North Carolina,27408,Completed
036,"M3 Wake Research, Inc.",United States,Raleigh,North Carolina,27612,Completed
037,"PMG Research of Wilmington, LLC",United States,Wilmington,North Carolina,28401,Completed
038,Lillestol Research LLC,United States,Fargo,North Dakota,58104,Completed
039,Cincinnati Children's Hospital Medical Center,United States,Cincinnati,Ohio,45206,Completed
040,"Sterling Research Group, Ltd.",United States,Cincinnati,Ohio,45219,Completed
041,Cincinnati Children's Hospital Medical Center (CCHMC),United States,Cincinnati,Ohio,45229,Completed
042,"Sterling Research Group, Ltd.",United States,Cincinnati,Ohio,45246,Completed
043,"Rapid Medical Research, Inc.",United States,Cleveland,Ohio,44122,Completed
044,Lynn Health Science Institute,United States,Oklahoma City,Oklahoma,73112,Completed
045,Omega Medical Research,United States,Warwick,Rhode Island,02886,Completed
046,"Meridian Clinical Research, LLC",United States,Dakota Dunes,South Dakota,57049,Completed
047,"Tekton Research, Inc.",United States,Austin,Texas,78745,Completed
048,Bellaire Doctor's Clinic,United States,Bellaire,Texas,77401,Completed
049,"Ventavia Research Group, LLC",United States,Fort Worth,Texas,76104,Completed
050,Benchmark Research,United States,Fort Worth,Texas,76135,Completed
051,HealthFirst Medical Group,United States,Fort Worth,Texas,76135,Completed
052,"Ventavia Research Group, LLC",United States,Keller,Texas,76248,Completed
053,"Clinical Trials of Texas, Inc.",United States,San Antonio,Texas,78229,Completed
054,"Ventavia Research Group, LLC",United States,Spring,Texas,77389,Completed
055,DM Clinical Research,United States,Tomball,Texas,77375,Completed
056,Martin Diagnostic Clinic,United States,Tomball,Texas,77375,Completed
057,J. Lewis Research Inc. / Foothill Family Clinic Draper,United States,Draper,Utah,84020,Completed
058,"J. Lewis Research, Inc. / Foothill Family Clinic",United States,Salt Lake City,Utah,84109,Completed
059,"J. Lewis Research, Inc. / Foothill Family Clinic South",United States,Salt Lake City,Utah,84121,Completed
060,"J. Lewis Research, Inc. - Jordan River Family Medicine",United States,South Jordan,Utah,84095,Completed
061,Kaiser Permanente Washington Health Research Institute,United States,Seattle,Washington,98101,Completed
062,Ladulaas Kliniska Studier,Sweden,Borås,,50630,Completed
063,Infektionskliniken Malarsjukhuset,Sweden,Eskilstuna,,63188,Completed
064,ProbarE i Lund,Sweden,Lund,,222 22,Completed
065,Avdelningen för kliniska prövningar,Sweden,Örebro,,70362,Completed
066,"Karolinska Trial Alliance, KTA Prim",Sweden,Stockholm,,113 61,Completed
067,Akardo Med Site,Sweden,Stockholm,,114 46,Completed
068,Akademiska Sjukhuset,Sweden,Uppsala,,75185,Completed
