Site Number,Site Name,Country,City,State,Zip,Status
001,University of Alabama at Birmingham - Main /ID# 207996,United States,Birmingham,Alabama,35233,Completed
002,Banner Sun Health Res Inst /ID# 208811,United States,Sun City,Arizona,85351,Completed
003,The Parkinson's & Movement Disorder Institute - Fountain Valley /ID# 216126,United States,Fountain Valley,California,92708,Completed
004,University of Colorado Hospital /ID# 207968,United States,Aurora,Colorado,80045,Completed
005,Parkinson's Disease and Movement Disorders Center of Boca Raton /ID# 207677,United States,Boca Raton,Florida,33486,Completed
006,Northwestern University Feinberg School of Medicine /ID# 208812,United States,Chicago,Illinois,60611-2927,Completed
007,Indiana Clinical Research Cent /ID# 207952,United States,Indianapolis,Indiana,46202,Completed
008,Univ Kansas Med Ctr /ID# 208963,United States,Kansas City,Kansas,66160,Completed
009,University of Kentucky Chandler Medical Center /ID# 207603,United States,Lexington,Kentucky,40536,Completed
010,Massachusetts General Hospital /ID# 207993,United States,Boston,Massachusetts,02114,Completed
011,Health Partners /ID# 207950,United States,Saint Paul,Minnesota,55130-2400,Completed
012,University of Missouri /ID# 209043,United States,Columbia,Missouri,65203,Completed
013,Washington University-School of Medicine /ID# 207525,United States,St Louis,Missouri,63110,Completed
014,Dartmouth-Hitchcock Medical Center /ID# 207972,United States,Lebanon,New Hampshire,03756,Completed
015,Wake Radiology UNC REX Healthcare - Raleigh Office /ID# 209784,United States,Raleigh,North Carolina,27612,Completed
016,Legacy Medical Group - Neurology /ID# 208031,United States,Portland,Oregon,97232-2003,Completed
017,Prisma Health Cancer Institute-Faris Road /ID# 207650,United States,Greenville,South Carolina,29605-4255,Completed
018,Neurology Consultants of Dallas - LBJ Fwy /ID# 207619,United States,Dallas,Texas,75243-1188,Completed
019,Baylor College of Medicine /ID# 207620,United States,Houston,Texas,77030-4202,Completed
020,Central Texas Neurology Consul /ID# 216918,United States,Round Rock,Texas,78681,Completed
021,Univ Texas HSC San Antonio /ID# 208958,United States,San Antonio,Texas,78229-3901,Completed
022,Booth Gardner Parkinson's Care Center /ID# 208026,United States,Kirkland,Washington,98034-3029,Completed
023,Inland Northwest Research /ID# 208122,United States,Spokane,Washington,99202-1342,Completed
024,Medical College of Wisconsin /ID# 207999,United States,Milwaukee,Wisconsin,53226-3522,Completed
025,Concord Repatriation General Hospital /ID# 207628,Australia,Concord,New South Wales,2139,Completed
026,Westmead Hospital /ID# 207633,Australia,Westmead,New South Wales,2145,Completed
027,Royal Adelaide Hospital /ID# 207634,Australia,Adelaide,South Australia,5000,Completed
028,Alfred Health /ID# 207632,Australia,Melbourne,Victoria,3004,Completed
029,Perron Institute /ID# 207627,Australia,Nedlands,Western Australia,6009,Completed
030,Universitair Ziekenhuis Leuven /ID# 209058,Belgium,Leuven,Vlaams-Brabant,3000,Completed
031,AZ Sint-Jan Brugge /ID# 208178,Belgium,Bruges,,8000,Completed
032,Groupe Sante CHC - Clinique du MontLegia /ID# 208177,Belgium,Liège,,4000,Completed
033,University of Calgary - Movement Disorders Clinic /ID# 207342,Canada,Calgary,Alberta,T2N 4N1,Completed
034,Centre de Recherche St-Louis /ID# 207344,Canada,Québec,Quebec,G1W 4R4,Completed
035,Bispebjerg and Frederiksberg Hospital /ID# 207669,Denmark,Copenhagen NV,Capital Region,2400,Completed
036,Aarhus University Hospital /ID# 207668,Denmark,Aarhus N,Central Jutland,8200,Completed
037,Odense University Hospital /ID# 207871,Denmark,Odense C,Region Syddanmark,5000,Completed
038,Universitaetsklinikum Ulm /ID# 208602,Germany,Ulm,Baden-Wurttemberg,89081,Completed
039,Kliniken Beelitz GmbH /ID# 208600,Germany,Beelitz-Heilstätten,,14547,Completed
040,InnKlinikum Haag /ID# 208601,Germany,Haag,,83527,Completed
041,IRCCS Centro Neurolesi Bonino Pulejo /ID# 207975,Italy,Messina,,98124,Completed
042,Fondazione IRCCS Istituto Neurologico Carlo Besta /ID# 207955,Italy,Milan,,20133,Completed
043,Azienda Ospedaliera di Padova /ID# 208077,Italy,Padua,,35128,Completed
044,National Hospital Organization Asahikawa Medical Center /ID# 210914,Japan,Asahikawa-shi,Hokkaido,070-8644,Completed
045,National Hospital Organization Utano National Hospital /ID# 210912,Japan,Kyoto,Kyoto,616-8255,Completed
046,Osaka University Hospital /ID# 210913,Japan,Suita-shi,Osaka,565-0871,Completed
047,Juntendo University Hospital /ID# 210915,Japan,Bunkyo-ku,Tokyo,113-8431,Completed
048,National Center of Neurology and Psychiatry /ID# 210911,Japan,Kodaira-shi,Tokyo,187-8551,Completed
049,Erasmus Medisch Centrum /ID# 208168,Netherlands,Rotterdam,South Holland,3015 GD,Completed
050,St. Antonius Ziekenhuis /ID# 208529,Netherlands,Nieuwegein,,3435 CM,Completed
051,Academician I.P. Pavlov First St. Petersburg State Medical University /ID# 216303,Russia,Saint Petersburg,Sankt-Peterburg,197101,Completed
052,City Clinical Hospital #40 /ID# 216301,Russia,Sestroretsk,Sankt-Peterburg,197706,Completed
053,Hospital General Universitario de Elche /ID# 209777,Spain,Elche,Alicante,03203,Completed
054,Hospital Universitario de Bellvitge /ID# 209539,Spain,L'Hospitalet de Llobregat,Barcelona,08907,Completed
055,Hospital Universitario A Coruna - CHUAC /ID# 212147,Spain,A Coruña,,15006,Completed
056,Hospital Santa Creu i Sant Pau /ID# 208240,Spain,Barcelona,,08041,Completed
057,Hospital Universitario Virgen de las Nieves /ID# 208242,Spain,Granada,,18014,Completed
058,Hospital Universitario Ramon y Cajal /ID# 208241,Spain,Madrid,,28034,Completed
059,Hospital Universitario Virgen del Rocio /ID# 208239,Spain,Seville,,41013,Completed
060,Skane University Hospital Lund /ID# 207811,Sweden,Lund,Skåne County,SE 221 41,Completed
061,Centrum for neurologi /ID# 207716,Sweden,Stockholm,Stockholm County,113 65,Completed
062,Sahlgrenska University Hospital /ID# 207718,Sweden,Gothenburg,Västra Götaland County,413 46,Completed
063,NHS Tayside /ID# 209242,United Kingdom,Dundee,Scotland,DD2 1UB,Completed
064,King's College Hospital NHS Foundation Trust /ID# 208413,United Kingdom,London,,SE5 9RS,Completed
065,University Hospital Plymouth NHS Trust /ID# 208447,United Kingdom,Plymouth,,PL6 5FP,Completed
