Site Number,Site Name,Country,City,State,Zip,Status
001,Investigational Site Number 920,United States,Los Angeles,California,90007-2664,Completed
002,Investigational Site Number 921,United States,Los Angeles,California,90027,Completed
003,Investigational Site Number 911,United States,San Diego,California,92121,Completed
004,Investigational Site Number 917,United States,Gainesville,Florida,32610,Completed
005,Investigational Site Number 919,United States,Ann Arbor,Michigan,48109,Completed
006,Investigational Site Number 908,United States,Lansing,Michigan,48824,Completed
007,Investigational Site Number 906,United States,Las Vegas,Nevada,89113,Completed
008,Investigational Site Number 902,United States,Seattle,Washington,98101-3932,Completed
009,Investigational Site Number 136,Argentina,Buenos Aires,,,Completed
010,Investigational Site Number 137,Argentina,Buenos Aires,,,Completed
011,Investigational Site Number 139,Argentina,Mendoza,,,Completed
012,Investigational Site Number 121,Australia,Perth,,,Completed
013,Investigational Site Number 122,Australia,Sydney,,,Completed
014,Investigational Site Number 161,Belgium,Brussels,,,Completed
015,Investigational Site Number 181,Brazil,Campinas,,,Completed
016,Investigational Site Number 171,Bulgaria,Plovdiv,,,Completed
017,Investigational Site Number 172,Bulgaria,Sofia,,,Completed
018,Investigational Site Number 202,Canada,Hamilton,,,Completed
019,Investigational Site Number 205,Canada,Hamilton,,,Completed
020,Investigational Site Number 281,France,Brest,,,Completed
021,Investigational Site Number 283,France,Lille,,,Completed
022,Investigational Site Number 282,France,Lyon,,,Completed
023,Investigational Site Number 284,France,Marseille,,,Completed
024,Investigational Site Number 304,Germany,Berlin,,,Completed
025,Investigational Site Number 302,Germany,Bonn,,,Completed
026,Investigational Site Number 303,Germany,Frankfurt,,,Completed
027,Investigational Site Number 321,Greece,Athens,,,Completed
028,Investigational Site Number 312,Hungary,Budapest,,,Completed
029,Investigational Site Number 314,Hungary,Debrecen,,,Completed
030,Investigational Site Number 402,Italy,Milan,,,Completed
031,Investigational Site Number 401,Italy,Vicenza,,,Completed
032,Investigational Site Number 426,Japan,Kawasaki,,,Completed
033,Investigational Site Number 423,Japan,Kitakyushu,,,Completed
034,Investigational Site Number 425,Japan,Nagoya,,,Completed
035,Investigational Site Number 422,Japan,Nara,,,Completed
036,Investigational Site Number 421,Japan,Tokyo,,,Completed
037,Investigational Site Number 424,Japan,Tokyo,,,Completed
038,Investigational Site Number 435,Mexico,Durango,,,Completed
039,Investigational Site Number 641,Netherlands,Utrecht,,,Completed
040,Investigational Site Number 603,South Korea,Daegu,,,Completed
041,Investigational Site Number 600,South Korea,Seoul,,,Completed
042,Investigational Site Number 601,South Korea,Seoul,,,Completed
043,Investigational Site Number 521,Spain,Madrid,,,Completed
044,Investigational Site Number 531,Taiwan,Chang-hua,,,Completed
045,Investigational Site Number 532,Taiwan,Taipei,,,Completed
046,Investigational Site Number 581,United Kingdom,Basingstoke,,,Completed
047,Investigational Site Number 581,United Kingdom,London,,,Completed
