Site Number,Site Name,Country,City,State,Zip,Status
001,"North Central Neurology Associates, PC-Site Number:8400009",United States,Cullman,Alabama,35058,Completed
002,Center for Neurology and Spine-Site Number:8400089,United States,Phoenix,Arizona,84018,Completed
003,Arcadia Neurology Center-Site Number:8400070,United States,Arcadia,California,91006,Completed
004,Multiple Sclerosis Center of California-Site Number:8400135,United States,Newport Beach,California,92663,Completed
005,Harbor UCLA-Site Number:8400088,United States,Torrance,California,90502,Completed
006,"Mountain Neurological Research Center, Inc.-Site Number:8400128",United States,Basalt,Colorado,81621,Completed
007,Advanced Neurosciences Research-Site Number:8400025,United States,Fort Collins,Colorado,80528,Completed
008,South Florida Neurology Associates-Site Number:8400029,United States,Boca Raton,Florida,33487,Completed
009,University of Florida Health-Site Number:8400159,United States,Gainesville,Florida,32608,Completed
010,"Neurology Associates, PA-Site Number:8400004",United States,Maitland,Florida,32761,Completed
011,University of Miami-Site Number:8400063,United States,Miami,Florida,33136,Completed
012,Infinity Clinical Research-Site Number:8400008,United States,Sunrise,Florida,33351,Completed
013,University of South Florida-Site Number:8400006,United States,Tampa,Florida,33612,Completed
014,Meridian Clinical Research-Site Number:8400003,United States,Savannah,Georgia,31406,Completed
015,Consultants In Neurology-Site Number:8400011,United States,Northbrook,Illinois,60062,Completed
016,Prairie Education and Research Cooperative-Site Number:8400071,United States,Springfield,Illinois,62701,Completed
017,Fort Wayne Neurological Center-Site Number:8400039,United States,Fort Wayne,Indiana,46804,Completed
018,CHI Saint Joseph Medical Group Neurology-Site Number:8400110,United States,Lexington,Kentucky,40509,Completed
019,University of Kentucky-Site Number:8400106,United States,Lexington,Kentucky,40536,Completed
020,Norton Neurology MS Services-Site Number:8400127,United States,Louisville,Kentucky,40207,Completed
021,The NeuroMedical Center-Site Number:8400057,United States,Baton Rouge,Louisiana,70810,Completed
022,International Neurorehabilitation Institute-Site Number:8400034,United States,Lutherville-Timonium,Maryland,21093,Completed
023,Wayne State University-Site Number:8400046,United States,Detroit,Michigan,48201,Completed
024,Minneapolis Clinic of Neurology-Site Number:8400051,United States,Minneapolis,Minnesota,55422,Completed
025,Saint Luke's Hospital-Site Number:8400153,United States,Kansas City,Missouri,64111,Completed
026,West Omaha Family Physicians-Site Number:8400139,United States,Omaha,Nebraska,68130,Completed
027,University Of Nebraska-Site Number:8400129,United States,Omaha,Nebraska,68198,Completed
028,Hackensack University Hospital-Site Number:8400047,United States,Hackensack,New Jersey,07601,Completed
029,University of New Mexico-Site Number:8400032,United States,Albuquerque,New Mexico,87131,Completed
030,South Shore Neurologic Associates-Site Number:8400100,United States,Patchogue,New York,11772,Completed
031,Novant Health Multiple Sclerosis Care Center - South Park-Site Number:8400120,United States,Charlotte,North Carolina,28210,Completed
032,"Meridian Clinical Research, LLC-Site Number:8400005",United States,Raleigh,North Carolina,27607,Completed
033,Sanford Brain & Spine Center-Site Number:8400126,United States,Fargo,North Dakota,58103,Completed
034,Dayton Center for Neurological Disorders-Site Number:8400081,United States,Centerville,Ohio,45459,Completed
035,Jefferson Neurology Associates-Site Number:8400016,United States,Philadelphia,Pennsylvania,19107,Completed
036,Premier Neurology-Site Number:8400069,United States,Greer,South Carolina,29650,Completed
037,Advanced Neuroscience Center-Site Number:8400035,United States,Franklin,Tennessee,37064,Completed
038,"Sibyl Wray, MD, Neurology, PC-Site Number:8400007",United States,Knoxville,Tennessee,37922,Completed
039,Mt Olympus Medical Research-Site Number:8400163,United States,Katy,Texas,77450,Completed
040,Neurology Center of San Antonio-Site Number:8400036,United States,San Antonio,Texas,78258,Completed
