Site Number,Site Name,Country,City,State,Zip,Status
001,"Retinal Research Institute, LLC",United States,Phoenix,Arizona,85014,Completed
002,Retina Associates Southwest PC,United States,Tucson,Arizona,85704,Completed
003,Retinal Diagnostic Center,United States,Campbell,California,95008,Completed
004,The Retina Partners,United States,Encino,California,91436,Completed
005,California Eye Specialists Medical group Inc.,United States,Pasadena,California,91107,Completed
006,"Retina Consultants, San Diego",United States,Poway,California,92064,Completed
007,Retina Consultants of Southern Colorado PC,United States,Colorado Springs,Colorado,80909,Completed
008,Retina Group of New England,United States,Waterford,Connecticut,06385,Completed
009,Florida Eye Associates,United States,Melbourne,Florida,32901,Completed
010,Fort Lauderdale Eye Institute,United States,Plantation,Florida,33324,Completed
011,Retina Vitreous Assoc of FL,United States,St. Petersburg,Florida,33711,Completed
012,Southern Vitreoretinal Assoc,United States,Tallahassee,Florida,32308,Completed
013,"Retina Associates of Florida, LLC",United States,Tampa,Florida,33609,Completed
014,Southeast Retina Center,United States,Augusta,Georgia,30909,Completed
015,Georgia Retina PC,United States,Marietta,Georgia,30060-1137,Completed
016,Retina Consultants of Hawaii,United States,‘Aiea,Hawaii,96701,Completed
017,"University Retina and Macula Associates, PC",United States,Oak Forest,Illinois,60452,Completed
018,Prairie Retina Center,United States,Springfield,Illinois,62704,Completed
019,Cumberland Valley Retina PC,United States,Hagerstown,Maryland,21740,Completed
020,Tufts Medical Center; Ophthalmology,United States,Boston,Massachusetts,02111,Completed
021,Assoc Retinal Consultants PC,United States,Royal Oak,Michigan,48073,Completed
022,"VitreoRetinal Surgery, PLLC.; DBA Retina Consultants of Minnesota",United States,Edina,Minnesota,55435,Completed
023,Midwest Vision Research Foundation,United States,Chesterfield,Missouri,63017,Completed
024,Sierra Eye Associates,United States,Reno,Nevada,89502,Completed
025,Retina Associates of NJ,United States,Teaneck,New Jersey,07666,Completed
026,Long Is. Vitreoretinal Consult,United States,Hauppauge,New York,11788,Completed
027,Retina Vit Surgeons/Central NY,United States,Liverpool,New York,13088,Completed
028,Graystone Eye,United States,Hickory,North Carolina,28602,Completed
029,Cincinnati Eye Institute,United States,Cincinnati,Ohio,45242,Completed
030,Black Hills Eye Institute,United States,Rapid City,South Dakota,57701,Completed
031,Charles Retina Institute,United States,Germantown,Tennessee,38138,Completed
032,Tennessee Retina PC,United States,Nashville,Tennessee,37203,Completed
033,Retina Res Institute of Texas,United States,Abilene,Texas,79606,Completed
034,Austin Retina Associates,United States,Austin,Texas,78705-1169,Completed
035,Retina & Vitreous of Texas,United States,Bellaire,Texas,77401-3510,Completed
036,Texas Retina Associates,United States,Dallas,Texas,75231,Completed
037,Retina Consultants of Texas,United States,The Woodlands,Texas,77384-4167,Completed
038,"Strategic Clinical Research Group, LLC",United States,Willow Park,Texas,76087,Completed
039,"Retina Associates of Utah, PLLC",United States,Salt Lake City,Utah,84107,Completed
040,Fundacion Zambrano,Argentina,CABA,,C1017AAO,Completed
041,Centro Oftalmológico Dr. Charles S.A.,Argentina,Capital Federal,,C1015ABO,Completed
042,Oftalmos,Argentina,Capital Federal,,C1120AAN,Completed
043,Hospital Italiano; Ophtalmology,Argentina,Capital Federal,,C1199ABC,Completed
044,Buenos Aires Mácula,Argentina,Ciudad Autonoma Buenos Aires,,C1061AAE,Completed
045,Oftar,Argentina,Mendoza,,M5500GGK,Completed
046,Centro Oftalmólogos Especialistas,Argentina,Rosario,,S2000ANJ,Completed
047,Grupo Laser Vision,Argentina,Rosario,,S2000DLA,Completed
048,Organizacion Medica de Investigacion,Argentina,San Nicolás,,C1015ABO,Completed
049,Strathfield Retina Clinic,Australia,Strathfield,New South Wales,2135,Completed
050,Save Sight Institute,Australia,Sydney,New South Wales,2000,Completed
051,Sydney Retina Clinic and Day Surgery,Australia,Sydney,New South Wales,2000,Completed
052,Centre For Eye Research Australia,Australia,East Melbourne,Victoria,3002,Completed
053,Retina Specialists Victoria,Australia,Rowville,Victoria,3178,Completed
054,The Lions Eye Institute,Australia,Nedlands,Western Australia,6009,Completed
055,LKH-Univ.Klinikum Graz; Universitäts-Augenklinik,Austria,Graz,,8036,Completed
056,Hospital das Clinicas - UFRGS,Brazil,Porto Alegre,Rio Grande do Sul,90035-903,Completed
057,Botelho Hospital da Visao,Brazil,Blumenau,Santa Catarina,89052-504,Completed
058,Universidade Federal de Sao Paulo - UNIFESP*X; Oftalmologia,Brazil,São Paulo,São Paulo,04023-062,Completed
059,Hosp de Olhos de Sorocaba,Brazil,Sorocaba,São Paulo,18031-060,Completed
060,Beijing Hospital of Ministry of Health,China,Beijing,,100730,Completed
061,The Second Hospital of Jilin University,China,Changchun,,130041,Completed
062,"West China Hospital, Sichuan University",China,Chengdu,,610041,Completed
063,"Zhongshan Ophthalmic Center, Sun Yat-sen University",China,Guangzhou,,510060,Completed
064,The 2nd Affiliated Hospital of Harbin Medical University,China,Harbin,,150001,Completed
065,The Affiliated Eye Hospital of Nanjing Medical University,China,Nanjing,,210029,Completed
066,Shanghai Tenth People's Hospital,China,Shanghai,,200072,Completed
067,Shanghai First People's Hospital,China,Shanghai,,200080,Completed
068,He Eye Specialist Shenyang Hospital,China,Shenyang,,110034,Completed
069,Tianjin Eye Hospital,China,Tianjin,,300050,Completed
070,Tianjin Medical University Eye Hospital,China,Tianjin,,300070,Completed
071,"Eye Hospital, Wenzhou Medical University",China,Wenzhou,,325027,Completed
072,Renmin Hospital of Wuhan University,China,Wuhan,,430060,Completed
073,Henan Provincial Eye Hosptial,China,Zhengzhou,,,Completed
074,Faculty Hospital Ostrava; Ophthalmology clinic,Czechia,Ostrava,,708 52,Completed
075,Faculty Hospital Kralovske Vinohrady; Ophthalmology clinic,Czechia,Prague,,100 34,Completed
076,AXON Clinical,Czechia,Prague,,,Completed
077,Nemocnice Sokolov,Czechia,Sokolov,,356 01,Completed
078,Chi De Creteil; Ophtalmologie,France,Créteil,,94010,Completed
079,Hopital Lariboisiere; Ophtalmologie,France,Paris,,75010,Completed
080,"Universitätsklinikum Freiburg, Klinik für Augenheilkunde",Germany,Freiburg im Breisgau,,79106,Completed
081,Universitätsmedizin Göttingen Georg-August-Universität; Klinik für Augenheilkunde,Germany,Göttingen,,37075,Completed
082,Klinikum der Stadt Ludwigshafen am Rhein gGmbH; Augenklinik,Germany,Ludwigshafen,,67063,Completed
083,Queen Mary Hospital; Department of Ophthalmology,Hong Kong,Hong Kong,,,Completed
084,Hong Kong Eye Hospital; CUHK Eye Centre,Hong Kong,Mong Kok,,,Completed
085,Budapest Retina Associates Kft.,Hungary,Budapest,,1133,Completed
086,Debreceni Egyetem Klinikai Kozpont; Szemeszeti Klinika,Hungary,Debrecen,,4032,Completed
087,Ganglion Medial Center,Hungary,Pécs,,7621,Completed
088,Szegedi Tudományegyetem ÁOK; Department of Ophtalmology,Hungary,Szeged,,6720,Completed
089,Rambam Medical Center; Opthalmology,Israel,Haifa,,3109601,Completed
090,Hadassah MC; Ophtalmology,Israel,Jerusalem,,9112001,Completed
091,Rabin MC; Ophtalmology,Israel,Petah Tikva,,4941492,Completed
092,Kaplan Medical Center; Ophtalmology,Israel,Rehovot,,7660101,Completed
093,Tel Aviv Sourasky MC; Ophtalmology,Israel,Tel Aviv,,6423906,Completed
094,Fondazione Ptv Policlinico Tor Vergata Di Roma;U.O.S.D. Patologie Renitiche,Italy,Rome,Lazio,00133,Completed
095,Fondazione Irccs Ca' Granda Ospedale Maggiore Policlinico-Clinica Regina Elena;U.O.C Oculistica,Italy,Milan,Lombardy,20100,Completed
096,Azienda Ospedaliero-Universitaria Careggi; S.O.D. Oculistica,Italy,Florence,Tuscany,50134,Completed
097,Sugita Eye Hospital,Japan,Aichi,,460-0008,Completed
