Site Number,Site Name,Country,City,State,PI Name,PI Email,Status,Target Enrollment
3333,Anhui Cancer Hospital,China,Hefei,Anhui,,,Completed,4
3343,Beijing Tongren Hospital - Capital Medical University,China,Beijing,Beijing Municipality,,,Completed,4
3314,Beijing Cancer Hospital,China,Beijing,Beijing Municipality,,,Completed,4
3304,Peking Union Medical College Hospital,China,Beijing,Beijing Municipality,,,Completed,4
3327,Chongqing Cancer Hospital,China,Chongqing,Chongqing Municipality,,,Completed,4
3326,Fujian Provincial Cancer Hospital,China,Fuzhou,Fujian,,,Completed,4
3336,Sun Yat-sen Memorial Hospital - Sun Yat-sen University,China,Guangzhou,Guangdong,,,Completed,4
3338,Sun Yat-sen Memorial Hospital - Sun Yat-sen University (Site 2),China,Guangzhou,Guangdong,,,Completed,4
3344,The First Affiliated Hospital - Sun Yat-sen University,China,Guangzhou,Guangdong,,,Completed,4
3322,Guangxi Medical University Affiliated Tumor Hospital,China,Nanning,Guangxi,,,Completed,4
3330,Guizhou Cancer Hospital,China,Guiyang,Guizhou,,,Completed,4
3302,The Third Affiliated Hospital of Harbin Medical University,China,Harbin,Heilongjiang,,,Completed,4
3309,Henan Cancer Hospital,China,Zhengzhou,Henan,,,Completed,4
3307,Wuhan Union Hospital Cancer Center,China,Wuhan,Hubei,,,Completed,4
3316,Tongji Hospital - Tongji Medical College,China,Wuhan,Hubei,,,Completed,4
3311,Hunan Cancer Hospital,China,Changsha,Hunan,,,Completed,4
3305,Xiangya Hospital of Central South University,China,Changsha,Hunan,,,Completed,4
3334,Hunan Cancer Hospital (Site 2),China,Changsha,Hunan,,,Completed,4
3339,Changzhou Tumor Hospital - Fourth People's Hospital,China,Changzhou,Jiangsu,,,Completed,4
3313,Jiangxi Cancer Hospital,China,Nanchang,Jiangxi,,,Completed,4
3310,Jilin Cancer Hospital,China,Changchun,Jilin,,,Completed,4
3328,The First Affiliated Hospital of Xi'an Jiaotong University,China,Xi'an,Shaanxi,,,Completed,4
3332,Shanghai 9th People's Hospital,China,Shanghai,Shanghai Municipality,,,Completed,4
3324,Fudan University Shanghai Cancer Center,China,Shanghai,Shanghai Municipality,,,Completed,4
3300,Shanghai East Hospital,China,Shanghai,Shanghai Municipality,,,Completed,4
3308,West China Hospital of Sichuan University,China,Chengdu,Sichuan,,,Completed,4
3312,Tianjin Medical University Cancer Hospital,China,Tianjin,Tianjin Municipality,,,Completed,4
3303,Zhejiang Cancer Hospital,China,Hangzhou,Zhejiang,,,Completed,4
