Site Number,Site Name,Country,City,State,PI Name,PI Email,Status,Target Enrollment
001,Banner MD Anderson Cancer Center,United States,Gilbert,AZ,,,Completed,6
002,Mayo Clinic Hospital,United States,Phoenix,AZ,,,Completed,8
003,UC San Diego Moores Cancer Center,United States,La Jolla,CA,,,Completed,6
004,UCLA,United States,Santa Monica,CA,,,Completed,8
005,Stanford Cancer Institute,United States,Stanford,CA,,,Completed,6
006,University of Miami Hospital/Sylvester Cancer Center,United States,Miami,FL,,,Completed,8
007,Moffitt Cancer Center,United States,Tampa,FL,,,Completed,6
008,Northwestern University,United States,Chicago,IL,,,Completed,8
009,University of Chicago Medical Center,United States,Chicago,IL,,,Completed,6
010,University of Iowa Hospitals and Clinics,United States,Iowa City,IA,,,Completed,6
011,The University of Kansas Cancer Center,United States,Kansas City,KS,,,Completed,5
012,University of Maryland Greenbaum Cancer Center,United States,Baltimore,MD,,,Completed,6
013,Dana-Farber Cancer Institute,United States,Boston,MA,,,Completed,8
014,Barbara Ann Karmanos Cancer Institute,United States,Detroit,MI,,,Completed,6
015,Mayo Clinic Patient Location,United States,Rochester,MN,,,Completed,8
016,Washington University School of Medicine,United States,St Louis,MO,,,Completed,6
017,John Theurer Cancer Center at Hackensack,United States,Hackensack,NJ,,,Completed,6
018,Memorial Sloan Kettering Cancer Center,United States,New York,NY,,,Completed,10
019,Icahn School of Medicine at Mount Sinai,United States,New York,NY,,,Completed,6
020,University of Rochester Medical Center,United States,Rochester,NY,,,Completed,5
021,Cleveland Clinic,United States,Cleveland,OH,,,Completed,8
022,James Cancer Hospital at Ohio State,United States,Columbus,OH,,,Completed,6
023,Thomas Jefferson University,United States,Philadelphia,PA,,,Completed,6
024,UPMC Hillman Cancer Center,United States,Pittsburgh,PA,,,Completed,6
025,Sarah Cannon Research Institute,United States,Nashville,TN,,,Completed,8
026,Henry-Joyce Cancer Center,United States,Nashville,TN,,,Completed,6
027,MD Anderson Cancer Center,United States,Houston,TX,,,Completed,10
028,University of Utah Huntsman Cancer Institute,United States,Salt Lake City,UT,,,Completed,6
029,University of Virginia Health System,United States,Charlottesville,VA,,,Completed,5
030,Swedish Cancer Institute,United States,Seattle,WA,,,Completed,6
031,Peter MacCallum Cancer Center,Australia,Melbourne,VIC,,,Completed,8
032,Universitatsklinikum Graz,Austria,Graz,,,,Completed,5
033,Medizinische Universitat Innsbruck,Austria,Innsbruck,,,,Completed,5
034,Cliniques Universiaires Saint-Luc,Belgium,Brussels,,,,Completed,6
035,UZ Gasthuisberg,Belgium,Leuven,,,,Completed,6
036,Vancouver General Hospital,Canada,Vancouver,BC,,,Completed,6
037,CancerCare Manitoba,Canada,Winnipeg,MB,,,Completed,5
038,Princess Margaret Cancer Center,Canada,Toronto,ON,,,Completed,8
039,McGill University Health Center,Canada,Montreal,QC,,,Completed,6
040,QEII Health Sciences Centre,Canada,Halifax,,,,Completed,5
