Site Number,Site Name,Country,City,State,PI Name,PI Email,Status,Target Enrollment
001,Cedars-Sinai Medical Center,United States,Los Angeles,CA,,,Completed,6
002,Stanford University Medical Center,United States,Stanford,CA,,,Completed,8
003,Yale University,United States,New Haven,CT,,,Completed,6
004,Cleveland Clinic Florida,United States,Weston,FL,,,Completed,5
005,Massachusetts General Hospital,United States,Boston,MA,,,Completed,8
006,Brigham and Women's Hospital,United States,Boston,MA,,,Completed,6
007,University of Michigan,United States,Ann Arbor,MI,,,Completed,6
008,Spectrum Health,United States,Grand Rapids,MI,,,Completed,5
009,Mayo Clinic,United States,Rochester,MN,,,Completed,8
010,Washington University School of Medicine,United States,St Louis,MO,,,Completed,6
011,NYU Langone Health,United States,New York,NY,,,Completed,6
012,Westchester Medical Center,United States,Valhalla,NY,,,Completed,5
013,Duke University Medical Center,United States,Durham,NC,,,Completed,8
014,Cleveland Clinic,United States,Cleveland,OH,,,Completed,6
015,Oregon Health and Science University,United States,Portland,OR,,,Completed,5
016,University of Pennsylvania,United States,Philadelphia,PA,,,Completed,6
017,Allegheny General Hospital,United States,Pittsburgh,PA,,,Completed,5
018,Vanderbilt University Medical Center,United States,Nashville,TN,,,Completed,6
019,Centennial Medical Center,United States,Nashville,TN,,,Completed,5
020,Houston Methodist Hospital,United States,Houston,TX,,,Completed,6
021,Intermountain Medical Center,United States,Murray,UT,,,Completed,5
