Site Number,Site Name,Country,City,State,PI Name,PI Email,Status,Target Enrollment
001,Retina Associates SW,United States,Tucson,AZ,,,Completed,8
002,Retina-Vitreous Assoc Medical Group,United States,Beverly Hills,CA,,,Completed,10
003,Retina Consultants of Orange County,United States,Fullerton,CA,,,Completed,8
004,Salehi Retina Institute,United States,Huntington Beach,CA,,,Completed,6
005,Retina Consultants of Southern California,United States,Redlands,CA,,,Completed,8
006,Premiere Practice Management LLC,United States,Torrance,CA,,,Completed,6
007,Lundquist Inst BioMed at Harbor,United States,Torrance,CA,,,Completed,8
008,Miramar Eye Specialists,United States,Ventura,CA,,,Completed,6
009,Advanced Research LLC,United States,Deerfield Beach,FL,,,Completed,8
010,Rand Eye Institute,United States,Deerfield Beach,FL,,,Completed,6
011,Pinnacle Research Institute,United States,Fort Lauderdale,FL,,,Completed,8
012,National Ophthalmic Research Institute,United States,Fort Myers,FL,,,Completed,6
013,Florida Retina Institute,United States,Jacksonville,FL,,,Completed,8
014,Blue Oc Clin Res at Palm Bch Eye Ct,United States,Lakeland,FL,,,Completed,6
015,MedEye Associates,United States,Miami,FL,,,Completed,8
016,Florida Retina Institute,United States,Orlando,FL,,,Completed,6
017,Eye Center of North Florida,United States,Panama City,FL,,,Completed,6
018,Fort Lauderdale Eye Institute,United States,Plantation,FL,,,Completed,8
019,Retina Associates,United States,Elmhurst,IL,,,Completed,6
020,Midwest Eye Institute,United States,Indianapolis,IN,,,Completed,8
021,John-Kenyon American Eye Institute PC,United States,New Albany,IN,,,Completed,6
022,Retina Associates PA,United States,Lenexa,KS,,,Completed,8
023,Cumberland Valley Retina Consultants,United States,Hagerstown,MD,,,Completed,6
024,University of Mississippi Med Ctr,United States,Jackson,MS,,,Completed,8
025,Retina Associates Of Cleveland,United States,Cleveland,OH,,,Completed,6
026,Dean McGee Eye Institute,United States,Oklahoma City,OK,,,Completed,8
027,Cascade Medical Research Institute,United States,Springfield,OR,,,Completed,6
028,Erie Retinal Surgery,United States,Erie,PA,,,Completed,6
029,Charleston Neuroscience Institute,United States,Ladson,SC,,,Completed,8
030,Southeastern Retina Associates P C,United States,Knoxville,TN,,,Completed,6
031,Austin Retina Associates,United States,Austin,TX,,,Completed,8
032,Texan Eye P A,United States,Austin,TX,,,Completed,6
033,Retina And Vitreous Of Texas,United States,Bellaire,TX,,,Completed,8
034,Retina Consultants TX Rsrch Ctr,United States,Bellaire,TX,,,Completed,6
035,Texas Retina Associates,United States,Fort Worth,TX,,,Completed,8
036,Valley Retina Institute PA,United States,Harlingen,TX,,,Completed,6
037,Retina Consultants of Houston PA,United States,Houston,TX,,,Completed,10
038,Medical Center Opthamology Assoc,United States,San Antonio,TX,,,Completed,6
039,Retina Associates Of South Texas PA,United States,San Antonio,TX,,,Completed,8
040,Virginia Eye Consultants,United States,Norfolk,VA,,,Completed,6
041,Novartis Investigative Site,Argentina,CABA,Buenos Aires,,,Completed,8
042,Novartis Investigative Site,Argentina,Ciudad Autonoma de Bs As,Buenos Aires,,,Completed,6
043,Novartis Investigative Site,Argentina,Rosario,De Santa Fe,,,Completed,8
044,Novartis Investigative Site,Australia,Albury,NSW,,,Completed,6
045,Novartis Investigative Site,Australia,Liverpool,NSW,,,Completed,8
046,Novartis Investigative Site,Australia,Parramatta,NSW,,,Completed,6
047,Novartis Investigative Site,Australia,Strathfield,NSW,,,Completed,6
048,Novartis Investigative Site,Brazil,Porto Alegre,Rio Grande do Sul,,,Completed,8
049,Novartis Investigative Site,Brazil,Blumenau,Santa Catarina,,,Completed,6
050,Novartis Investigative Site,Brazil,Sao Paulo,Sao Paulo,,,Completed,8
